Designator,Comment,Quantity,Fitted,Description,Footprint,Manufacturer 1,Manufacturer Part Number 1
"STDF1, STDF2, STDF3, STDF4","STDF-100002-01","4","Fitted","Standoff, Nylon, 0.250"" Hex, Fem-Fem 4-40, 0.625""","KEYSTONE_STDF_FF_0.25X0.625","Keystone Electronics","1902F"
"STDF5, STDF6, STDF7, STDF8","STDF-100003-01","4","Fitted","Standoff, Nylon, 0.250"" Hex, Male-Fem 4-40, 0.625""","KEYSTONE_STDF_MF_0.25X0.625","Keystone Electronics","4803"
"U1","ICN-002044-01","1","Fitted","Ethernet PHY, 10/100 Base-T, IDT ICS1894-32","IDT_QFN-32","Renesas IDT","ICS1894K-32LFT"
"U2","ICN-002049-01","1","Fitted","Transceiver, Isolated CAN, NVE IL41050","NVE_SOIC-16_wide","NVE Corporation","IL41050TE"
"U3","ICN-100025-01","1","Fitted","Renesas RA4M2 32-bit 100MHz MCU LQFP-48 pin","RENESAS_PLQP0048KB-B_SQUARE","Renesas","R7FA4M2AD3CFL#BA0"
"U4","ICN-110006-01","1","Fitted","LDO Regulator 2.0A, Adj 0.8V-5.0V","INTERSIL_DFN10","Renesas Intersil","ISL80102IRAJZ"
"U5, U8","ICN-002017-01","2","Fitted","Octal Switch with Ouput Enable","IDT_QSOP-20","Renesas IDT","QS3244QG"
"U6","ICN-200007-01","1","Fitted","OpAmp, Dual, High Drive,High Slew, Full range IO, 2.5-5.5V supply, TSSOP-8, READ2302G","RENESAS_TSSOP-8_PTSP0008JD-A","Renesas","READ2302GSP"
"U7, U9","ICN-002014-01","2","Fitted","Logic Inverter, Single, CMOS 4mAout, 2-5.5Vcc Schmitt Trigger, Nexperia(IDT)","IDT_TSSOP_5P","Nexperia","74AHC1G14GW"
"Y1","OSC-100001-01","1","Fitted","Crystal Clock Oscillator, 50 MHz CMOS, Abracon 1.6x1.2","ABRACON_ASCO","Abracon","ASCO-50.000MHZ-EK-T3"
"Y2","XTL-000011-01","1","Fitted","TXC 7V Crystal 12MHz 10pF","TXC_7V","TXC Corp","7V-12000MDDQ-T"
