t_ms,ax,ay,az,gx,gy,gz,label
0,6.6905386596679675,3.205554931640625,3.3005997192382814,4.566603053435114,-2.686370229007634,-4.477545801526718,0
25,6.477454711914063,3.1840071166992185,3.228773669433594,4.757442748091603,-2.342858778625954,-1.3783091603053435,0
50,6.499002526855468,3.2390737548828126,3.214408459472656,2.6200381679389313,3.8327137404580154,0.5835229007633587,0
75,6.647443029785156,3.263015771484375,3.137794006347656,1.2612595419847328,3.519736641221374,0.6980267175572519,0
100,6.582799584960937,3.274986779785156,3.080333166503906,0.5284351145038167,3.7182099236641224,0.2858129770992366,0
125,6.403234460449219,3.1816129150390626,3.223985266113281,0.8185114503816794,3.557904580152672,0.30871374045801525,0
150,6.379292443847656,3.1600651000976563,3.3029939208984374,1.2230916030534351,2.8937824427480914,0.5071870229007633,0
175,6.4056286621093745,3.380331652832031,3.19286064453125,0.3833969465648855,2.9090496183206107,-0.805790076335878,0
200,6.532521350097656,3.3444186279296875,3.2766577026367187,0.5131679389312976,-0.5260648854961831,-3.0958664122137405,0
225,6.410417065429686,3.3061114013671875,3.221591064453125,1.421564885496183,-4.235988549618321,-3.759988549618321,0
250,6.355350427246093,3.3923026611328124,3.2718692993164065,2.3146946564885496,-7.533698473282442,-3.76762213740458,0
275,6.245217150878905,3.4473692993164065,3.1784954345703125,3.047519083969466,-8.426828244274809,-4.5309809160305345,0
300,6.166208496093749,3.4904649291992187,3.161736022949219,3.093320610687023,-1.8161412213740458,-4.508080152671756,0
325,6.4798489135742185,3.4784939208984373,3.161736022949219,5.879580152671755,-4.136751908396947,-4.76762213740458,0
350,6.41520546875,3.684395263671875,3.128217199707031,13.566603053435115,-21.976446564885496,-6.821057251908397,0
376,6.111141857910156,3.6436938354492185,3.0348433349609376,19.375763358778627,-29.823774809160305,-11.065332061068702,0
401,5.763982617187499,3.428215686035156,2.9366810668945313,19.64293893129771,-22.58713358778626,-16.050064885496184,0
426,5.462313208007811,3.418638879394531,3.123428796386719,15.948282442748091,-9.92301145038168,-24.385942748091605,0
451,5.763982617187499,3.289351989746094,3.164130224609375,11.574236641221374,-3.335225190839694,-36.59204961832061,0
476,6.065652026367187,3.7466445068359375,3.3436953491210937,7.184923664122137,-11.304690839694656,-48.87449236641221,0
501,6.336196813964842,3.8735371948242188,3.554385095214844,1.5589694656488549,-23.839041984732823,-55.90502671755725,0
526,6.558857568359374,3.971699462890625,3.616634338378906,-4.807442748091604,-41.0527824427481,-57.676019083969464,0
551,6.525338745117186,4.259003662109375,3.645364758300781,-11.998282442748092,-55.999347328244276,-58.355408396946565,0
576,6.362533032226561,4.6133455078125,3.525654675292969,-23.776908396946563,-57.434461832061075,-57.76762213740458,0
601,6.755182104492186,4.941351135253906,2.9606230834960936,-38.608969465648855,-61.243622137404586,-59.01189694656488,0
626,6.695327062988281,5.298087182617188,2.9103448486328127,-53.547900763358776,-68.88484351145038,-60.21800381679389,0
651,6.589982189941405,5.257385754394531,2.625434851074219,-77.02118320610687,-44.23598854961833,-56.859225190839695,0
676,7.178955798339843,5.767350708007812,3.202437451171875,-91.74637404580153,-45.07568320610687,-52.51571374045801,0
701,7.080793530273437,5.978040454101563,2.658953674316406,-98.23492366412215,-74.72453816793893,-47.69891984732824,0
726,7.38485714111328,5.956492639160156,2.232785778808594,-113.18912213740458,-66.15965267175572,-39.355408396946565,0
752,7.317819494628906,6.526312634277343,2.7140203125,-116.46393129770993,-76.97644656488549,-28.26380534351145,0
777,7.0089674804687485,6.600532885742187,2.5105131713867186,-121.42576335877864,-74.76270610687023,-16.40884351145038,0
802,7.35373251953125,6.928538513183594,2.2112379638671875,-130.731106870229,-66.31232442748092,-5.1035,0
827,8.055233605957032,6.959663134765624,2.237574182128906,-141.53263358778628,-57.54133206106871,6.873599236641221,0
852,8.03607999267578,7.548636743164062,2.742750732421875,-151.85324427480916,-49.98408015267176,14.675125954198473,0
877,7.612306298828124,8.060995898437499,3.4634054321289063,-136.26545801526717,-92.09858396946565,33.194209923664125,0
902,7.9834075561523425,7.292457165527344,2.0460380493164063,-132.5479007633588,-90.23598854961831,60.827797709923665,0
927,8.404787048339841,6.811222631835937,1.883232336425781,-128.7387404580153,-87.39629389312977,91.91176717557252,0
952,8.304230578613282,6.408996752929688,1.5169194824218748,-124.48683206106871,-68.34285877862595,123.32398091603054,0
977,8.287471166992187,5.956492639160156,1.4522760375976562,-117.99828244274809,-57.40392748091603,150.83543129770993,0
1002,8.47661309814453,5.362730627441406,1.136241418457031,-108.42576335877864,-49.6558358778626,171.54535496183206,0
1028,8.567592761230468,4.560673071289062,0.5065663818359374,-96.44866412213742,-43.6558358778626,188.69802671755727,0
1053,8.285076965332031,3.6484822387695313,0.7124677246093749,-77.32652671755726,-48.84667557251909,204.4995534351145,0
1078,7.571604870605468,2.6764363647460936,0.6214880615234374,-57.1662213740458,-40.84667557251909,219.4995534351145,0
1103,7.602729492187499,1.9462048583984373,0.3078476440429687,-40.63187022900763,-24.869576335877863,231.4079503816794,0
1128,6.755182104492186,0.945428564453125,-0.21169411621093748,-12.166221374045803,-48.62530152671756,245.04917175572518,0
1153,5.998614379882812,0.1314,-0.4415374755859375,3.9024809160305343,-30.999347328244273,251.02627099236642,0
1178,4.808696154785156,-0.7760024291992187,-0.427172265625,23.910114503816796,-21.938278625954197,251.02627099236642,0
1203,3.7049691894531245,-1.575665783691406,-0.589977978515625,45.00171755725191,-14.266522900763357,251.02627099236642,0
1228,2.9340362548828116,-2.811073840332031,-0.4822389038085937,63.016984732824426,1.2143931297709925,251.02627099236642,0
