Frame Info: ,
Type,Depth
Format,Z16
Frame Number,3666
Timestamp (ms),148231.38
Resolution x,640
Resolution y,480
Bytes per pixel,2
,
Intrinsic:,
Fx,456.25
Fy,456.175781
PPx,306.34375
PPy,251.482422
Distorsion,None
