t_ms,ax,ay,az,gx,gy,gz,label
5,-9.39,2.45,2.49,-3.43,-28.85,33.02,4
29,-9.33,2.69,2.46,-2.7,-28.17,24.55,4
54,-9.34,2.77,2.48,-1.23,-27.69,18.75,4
79,-9.43,2.76,2.28,-1.54,-25.25,13.27,4
103,-9.61,2.34,2.26,-4.16,-21.35,9.73,4
128,-9.61,2.37,2.56,-7.88,-44.7,10.28,4
152,-9.75,2.35,2.46,-11.05,-43.54,11.74,4
177,-10.04,2.05,2.66,-11.96,-30.43,14.73,4
201,-9.63,2.32,3.35,-10.68,-22.02,19.06,4
227,-9.62,2.12,3.59,-8.91,-41.65,23.08,4
252,-9.49,2.37,3.64,-6.48,-33.78,24.18,4
276,-9.82,2.16,3.66,-4.16,-17.87,24.49,4
301,-9.09,2.13,4.04,-3,-10.98,24,4
325,-8.51,2.36,4.25,-2.76,-16.89,22.78,4
350,-8.15,2.35,4.05,-2.39,-32.02,20.16,4
375,-7.97,3.22,4.3,-1.11,-18.6,14.91,4
399,-7.93,3.48,4.59,1.02,-1.77,8.69,4
424,-7.71,3.45,4.49,4.01,6.03,2.35,4
448,-8.05,3.33,4.29,6.94,0.18,-4.29,4
473,-8.36,3.19,4.29,7.85,6.95,-9.42,4
497,-9.61,2.94,3.93,7.3,32.01,-11.67,4
522,-9.84,2.78,4.59,9.99,62.5,-9.36,4
547,-10.43,3.11,4.42,12.67,45.97,-5.94,4
572,-10.53,3.1,4.24,17.91,43.84,0.64,4
597,-11.26,3.27,3.55,21.51,71.34,7.96,4
621,-10.82,3.12,3.48,26.69,102.43,17.23,4
646,-10,3.48,3.1,30.54,86.28,22.47,4
670,-10.07,3.29,2.33,31.76,60.6,25.34,4
695,-10.41,3.53,1.67,31.39,70.06,27.35,4
721,-10.04,3.61,1.83,33.4,97.25,28.02,4
745,-9.07,3.6,1.57,37.43,103.9,27.72,4
770,-8.84,3.85,0.91,38.71,77.56,23.33,4
794,-8.6,3.96,0.34,39.26,65.79,17.41,4
819,-8.95,3.85,-0.5,37.85,62.13,10.89,4
843,-8.49,3.93,-0.54,34.74,49.39,7.78,4
869,-8.65,4.13,-1.06,30.6,13.72,4.36,4
894,-8.72,4.08,-1.32,28.04,-9.88,0.64,4
918,-8.98,4.08,-1.73,24.68,-12.87,-3.2,4
943,-9.13,3.87,-1.93,20.78,-13.66,-5.21,4
967,-9.36,3.6,-2.22,14.62,-17.81,-6.25,4
992,-9.57,3.44,-2.42,5.96,-15.37,-6.98,4
1017,-9.45,3.5,-2.08,-3.12,-9.15,-7.16,4
1041,-9.36,3.48,-1.93,-10.81,-18.36,-5.94,4
1066,-9.08,3.66,-1.48,-16.11,-26.47,-6.12,4
1091,-9.03,3.65,-1.03,-19.22,-26.59,-8.62,4
1116,-9.1,3.7,-0.78,-20.2,-25.61,-12.16,4
1140,-9.21,3.7,-0.56,-21.05,-24.21,-16,4
1165,-9.34,3.61,-0.33,-21.66,-25.07,-18.93,4
1190,-9.6,3.54,-0.29,-21.6,-26.22,-20.21,4
1215,-9.98,3.42,-0.25,-22.33,-22.81,-20.27,4
1240,-10.07,3.34,-0.02,-23.37,-22.26,-18.14,4
1264,-10,3.35,0.22,-23.43,-18.78,-14.72,4
1289,-9.8,3.45,0.45,-21.84,-21.83,-12.4,4
1314,-9.62,3.38,0.52,-19.71,-15.98,-12.22,4
1339,-9.57,3.48,0.85,-17.63,-14.39,-14.66,4
1364,-9.63,3.33,0.86,-15.74,-11.89,-16.86,4
1388,-9.79,3.32,1.02,-13.55,-7.99,-17.4,4
1413,-9.77,3.4,1.17,-10.81,-6.53,-17.53,4
1437,-9.87,3.48,1.11,-8.61,-4.88,-17.4,4
1462,-10.32,3.22,1.03,-7.76,2.92,-16.43,4
1488,-10.6,2.98,1.19,-8.12,8.04,-14.11,4
1512,-10.61,2.84,1.24,-9.34,4.51,-10.64,4
1537,-10.32,2.72,1.31,-11.05,-3.24,-7.04,4
1561,-10.15,2.71,1.42,-12.02,-4.15,-4.72,4
1586,-9.95,2.58,1.54,-12.21,-3.97,-3.56,4
1610,-9.79,2.56,1.56,-11.48,-5.92,-3.81,4
1635,-9.66,2.62,1.57,-9.1,-4.03,-4.11,4
1660,-9.52,2.54,1.59,-6.35,-1.16,-5.64,4
1685,-9.64,2.52,1.64,-4.04,2.13,-8.62,4
1710,-9.75,2.55,1.54,-1.9,5.67,-12.1,4
1734,-10.15,2.54,1.57,-0.01,6.52,-13.14,4
1759,-10.38,2.54,1.23,0.17,3.17,-13.5,4
1784,-10.54,2.49,1.38,-0.2,2.25,-12.83,4
1808,-10.69,2.43,1.36,0.72,1.46,-10.57,4
1833,-10.63,2.43,1.27,2.18,-0.25,-8.32,4
1857,-10.83,2.41,1.04,3.4,6.28,-6.67,4
1882,-10.77,2.26,1.01,3.4,9.08,-4.72,4
1907,-10.77,2.12,0.82,2.3,5.67,-3.26,4
1932,-10.98,2.09,0.66,-0.13,4.81,-2.95,4
1957,-11.05,2.08,0.91,-2.63,11.09,-1.61,4
1981,-10.86,2.03,0.92,-3.91,5.12,0.52,4
2006,-10.72,1.9,0.94,-4.71,2.8,1.56,4
2030,-10.41,2.16,1.09,-5.13,-2.2,0.52,4
2055,-10.17,2.33,1.14,-3.49,-7.08,-0.21,4
2079,-10.23,2.26,1.04,-1.41,-3.36,-0.82,4
2104,-10.4,2.27,1.16,0.66,7.74,-1.06,4
2129,-10.43,2.37,1.3,4.44,5.67,0.46,4
2153,-10.61,2.32,1.28,8.89,5.3,2.96,4
2179,-10.7,2.21,1.1,11.88,9.87,6.07,4
2203,-10.73,2.04,0.86,11.88,11.95,9.85,4
2228,-10.64,2.02,0.67,9.68,11.09,14.3,4
2253,-10.27,2,0.6,7.98,4.14,17.9,4
2277,-9.98,2.19,0.62,6.15,3.29,17.9,4
2302,-9.65,2.21,0.65,3.89,2.86,15.64,4
2326,-9.49,2.37,0.58,2.18,-1.65,12.35,4
2351,-9.38,2.51,0.57,1.09,-5.49,8.69,4
2375,-9.46,2.55,0.66,0.17,-3.6,5.83,4
2400,-9.58,2.62,0.74,-0.2,-3.18,4.55,4
2426,-9.66,2.73,0.66,-0.07,-5.68,3.57,4
2450,-9.56,2.79,0.61,-1.05,-8.54,2.11,4
2475,-9.69,2.69,0.7,-1.54,-8.91,0.89,4
2499,-9.88,2.65,0.79,-1.78,-2.75,0.71,4
2524,-9.9,2.64,0.93,-1.72,-2.14,0.71,4
2548,-9.87,2.71,0.85,-1.48,-7.69,-0.15,4
2573,-9.96,2.7,1,0.29,-6.77,-1.18,4
2598,-10.07,2.64,0.97,2.73,-6.16,-1.92,4
2622,-10.09,2.75,0.86,4.8,-2.69,-3.44,4
2647,-10.16,2.68,0.71,5.9,3.72,-3.99,4
