t_ms,ax,ay,az,gx,gy,gz,label
5,1.08,9.05,3.14,1.88,1.28,-1.67,1
29,1.02,9.07,3.05,1.51,1.28,-2.47,1
53,0.84,9.06,3.04,0.48,2.07,-2.65,1
78,0.94,9.07,3.11,-0.81,3.11,-2.34,1
102,0.94,9.09,3.18,-1.72,-1.65,-1.67,1
127,0.84,9.17,3.21,-1.66,-0.49,-1.18,1
151,0.92,9.23,3.21,-0.56,0.73,-0.33,1
176,1.01,9.23,3.24,0.54,-1.65,-0.21,1
200,0.96,9.15,3.2,0.78,-1.71,-0.09,1
225,0.91,9.01,3.17,0.35,-1.53,-0.88,1
250,0.85,9.1,3.17,0.17,-1.16,-2.04,1
274,0.86,9.12,3.1,1.09,3.04,-2.4,1
299,0.84,9.09,3.06,1.02,2.74,-1.25,1
323,0.86,9.1,2.88,-0.26,-1.83,-0.45,1
348,0.8,9.06,3.06,-2.45,-1.53,-0.39,1
372,0.85,9.11,3.17,-3.06,0.18,-0.03,1
397,0.86,9.2,3.31,-2.7,-2.26,-0.15,1
422,0.7,9.22,3.29,-1.11,-0.37,-0.7,1
446,0.75,9.2,3.32,0.23,2.25,-1.18,1
471,0.82,9.1,3.32,1.21,2.19,-0.09,1
495,0.82,9.2,3.19,1.02,-0.13,1.07,1
520,0.85,9.22,3.11,0.54,0.06,1.56,1
544,0.97,9.15,3.2,0.05,0.79,1.68,1
569,0.93,9.2,3.11,-0.99,-1.77,1.07,1
594,0.83,9.2,3.2,-1.72,0.48,0.22,1
618,0.95,9.1,3.29,-0.44,3.47,0.16,1
643,0.89,9.09,3.24,1.39,0.42,1.13,1
667,0.97,9.07,3.17,1.15,0,2.05,1
692,1.1,9.08,3.11,-0.01,-0.55,2.17,1
717,1.02,9.08,3.2,-0.81,-1.89,1.5,1
741,1.07,9.03,3.13,-0.13,0.06,1.38,1
766,1.12,9.03,3.07,0.11,-1.47,0.22,1
790,1.04,9.04,3.1,-1.54,-0.68,-1.61,1
815,0.96,9.03,3.23,-2.33,1.4,-1.98,1
839,0.95,9.12,3.2,-2.27,-2.63,-1.67,1
864,0.88,9.26,3.26,-1.48,-2.5,-2.04,1
889,0.76,9.21,3.12,-0.44,4.32,-1.86,1
913,0.79,9.19,3.3,-0.26,0.36,0.4,1
938,0.95,9.15,3.32,-0.68,-6.71,1.86,1
962,0.84,9.17,3.23,-0.26,-2.57,1.13,1
987,0.86,9.08,3.32,0.66,2.74,-0.27,1
1011,0.9,8.96,3.27,1.15,-0.68,-0.51,1
1036,0.88,9.09,3.2,0.05,-1.04,-0.45,1
1061,0.9,9.03,3.12,-1.05,0.79,-0.7,1
1085,0.78,9.15,3.21,-1.48,-0.07,-0.45,1
1110,0.88,9.14,3.26,-1.17,0.12,0.46,1
1134,0.89,9.1,3.28,-1.23,-1.1,1.13,1
1159,0.93,9.1,3.28,-0.5,-1.1,1.56,1
1183,0.87,9.09,3.29,0.29,0.61,1.25,1
1208,1.03,9.15,3.24,0.35,-0.55,0.83,1
1233,1.04,9.12,3.31,-0.32,0.12,-0.45,1
1257,0.9,9.08,3.28,-0.32,0.18,-0.51,1
1282,0.95,9.14,3.37,0.23,-0.61,-0.51,1
1306,0.92,9.09,3.24,1.02,0.67,-0.15,1
1331,0.91,9.08,3.23,0.54,0.3,0.46,1
1355,0.99,9.15,3.34,0.17,-1.71,0.71,1
1380,1.01,9.14,3.19,0.54,0.12,0.46,1
1405,0.97,9.15,3.23,0.72,-0.37,0.4,1
1429,0.93,9.08,3.26,1.27,-0.31,0.46,1
1454,1.06,9.07,3.17,1.45,0.06,0.34,1
1478,1.05,9.04,3.04,0.54,-0.92,-0.33,1
1503,0.98,9.01,3.09,-1.23,-0.07,-0.76,1
1528,0.91,9.1,3.28,-1.6,1.03,-0.82,1
1552,0.92,9.14,3.32,-1.6,-1.16,-0.45,1
1577,0.99,9.12,3.37,-0.44,-0.74,0.34,1
1601,0.9,9.2,3.32,0.54,-0.92,0.89,1
1626,1.01,9.19,3.31,1.09,-2.02,0.16,1
1650,1.06,9.18,3.32,0.9,0.12,-0.33,1
1675,1.04,9.05,3.21,1.15,-1.04,-0.03,1
1700,0.91,9.13,3.13,1.21,-2.44,-0.82,1
1724,0.92,9.12,3.18,1.21,0.73,-1.49,1
1749,0.86,9.05,3.14,1.02,0.79,-1.12,1
1773,0.78,9.11,3.1,0.29,-1.04,-0.15,1
1798,0.79,9.12,3.1,-0.2,0.73,0.89,1
1822,1.02,9.04,3.26,0.05,0.36,2.53,1
1847,0.98,9.02,3.2,0.29,-4.27,2.72,1
1872,1.16,9.09,3.16,-0.68,0.79,1.38,1
1896,1.22,8.98,3.25,-0.5,0.42,1.07,1
1921,1.2,9.04,3.32,-0.44,-5.07,0.16,1
1945,1.16,9.02,3.35,0.17,-1.65,-1.31,1
1970,1.05,9.01,3.5,1.69,2.07,-1.73,1
1995,0.97,9.04,3.69,5.29,-0.25,0.58,1
2020,0.98,9.09,3.37,9.8,-3.48,1.86,1
2045,1.05,9.11,3.08,10.29,1.95,1.19,1
2069,1.01,9.15,3.23,9.8,5.61,1.74,1
2094,1.08,9.12,3.22,11.45,0.73,3.94,1
2118,1.01,9.2,2.92,11.15,-3.11,3.82,1
2143,0.96,9.17,2.7,9.26,0.24,2.35,1
2168,1.11,9.19,2.7,7.49,0.48,2.41,1
2192,1.02,9.23,2.44,4.68,-5.49,1.93,1
2217,0.62,9.25,2.76,3.4,-1.41,0.77,1
2241,0.79,9.23,2.99,5.66,7.68,2.84,1
2266,0.82,9.31,2.97,6.51,-0.31,4.55,1
2290,0.9,9.18,2.93,7,0.61,4.73,1
2315,1.35,9.02,3.1,9.62,11.34,5.4,1
2340,1.62,8.94,3.12,11.51,2.74,6.62,1
2364,1.47,8.87,3.39,14.74,-1.77,6.01,1
2389,1.34,8.6,3.72,22,11.7,7.78,1
2413,1.9,8.61,3.75,32.06,16.21,12.78,1
2439,2.62,8.94,3.67,41.08,5,10.71,1
2463,2.84,9.08,3.31,50.96,9.69,-2.59,1
2488,3.69,9.3,3.23,58.71,21.09,-21.31,1
2513,3.97,9.49,2.3,62.61,18.71,-43.44,1
2537,4.02,9.68,0.81,61.45,9.39,-72.53,1
2562,3.45,9.57,0.14,54.32,28.04,-110.33,1
2586,2.36,9.12,-0.6,50.29,67.62,-146.85,1
2612,1.53,9.1,-1.8,44.26,94.75,-173.62,1
2637,0,8.49,-3.19,22.85,108.41,-199.35,1
