t_ms,ax,ay,az,gx,gy,gz,label
5,-0.59,7.62,6.49,4.07,-5,7.05,1
29,-0.58,7.69,6.57,4.56,-4.46,5.46,1
53,-0.58,7.58,6.44,5.96,-2.26,3.69,1
78,-0.57,7.47,6.45,6.69,-6.04,3.63,1
102,-0.38,7.53,6.31,6.27,-7.57,2.66,1
127,-0.4,7.65,6.24,6.94,-5.31,-0.39,1
151,-0.54,7.66,6.1,7.73,-0.55,-2.83,1
176,-0.57,7.65,6,7.79,2.68,-3.75,1
200,-0.58,7.69,5.9,6.39,2.25,-3.01,1
225,-0.61,7.59,6.04,4.13,0.06,-1.92,1
250,-0.69,7.76,6.21,2.49,-3.97,-1,1
274,-0.84,7.79,6.13,2.37,-1.83,-0.88,1
299,-0.76,7.78,6.1,2.73,0.79,-0.21,1
323,-0.72,7.76,6.17,1.76,0,0.95,1
348,-0.82,7.74,6.05,0.9,-2.87,2.05,1
372,-0.71,7.73,6.08,0.29,-2.38,2.6,1
397,-0.51,7.71,6.21,-0.32,-1.35,1.44,1
422,-0.76,7.76,6.13,0.23,-0.86,1.01,1
446,-0.73,7.77,6.18,0.96,0.97,0.89,1
471,-0.69,7.71,6.27,0.48,-0.68,1.5,1
495,-0.59,7.68,6.22,0.05,-0.8,1.19,1
520,-0.75,7.69,6.13,0.29,1.03,0.46,1
544,-0.79,7.67,6.19,0.41,0.42,1.13,1
569,-0.69,7.72,6.24,-0.26,-0.43,2.23,1
594,-0.5,7.76,6.26,-1.84,-1.59,2.6,1
618,-0.61,7.78,6.3,-1.9,-2.63,1.68,1
643,-0.51,7.75,6.27,-0.44,-0.13,0.03,1
667,-0.5,7.77,6.32,0.54,2.37,-1.61,1
692,-0.64,7.76,6.41,1.69,0.42,-1.92,1
717,-0.75,7.71,6.2,3.1,1.64,-1.79,1
741,-0.67,7.81,6.11,3.28,2.86,-1.31,1
766,-0.75,7.87,5.99,2.43,2.8,-1.31,1
790,-0.88,7.82,6.23,1.09,1.52,0.16,1
815,-0.98,7.78,6.16,0.84,-1.04,3.02,1
839,-0.77,7.83,5.94,1.57,-0.86,5.64,1
864,-0.49,7.73,5.8,0.11,2.43,4.36,1
889,-0.57,7.71,6.09,-2.76,2.8,2.05,1
913,-0.66,7.73,6.52,-2.51,-2.38,3.14,1
938,-0.64,7.74,6.44,0.17,-1.65,4.85,1
962,-0.41,7.82,6.34,2.43,0.42,4.24,1
987,-0.33,7.72,6.19,2.3,2.37,2.11,1
1011,-0.3,7.74,6.12,1.57,0.61,0.46,1
1036,-0.4,7.7,6.05,1.57,-0.43,-0.7,1
1061,-0.5,7.72,6.22,2.06,1.82,-0.88,1
1085,-0.49,7.7,5.97,2.06,0.54,-0.51,1
1110,-0.44,7.78,6.08,0.9,0.3,-1.18,1
1134,-0.48,7.76,5.98,-0.13,-1.77,-1.49,1
1160,-0.62,7.64,6.05,0.23,-2.08,-1.25,1
1184,-0.69,7.64,6.12,0.78,0.18,-0.15,1
1209,-0.58,7.71,6.05,0.72,0.12,0.77,1
1234,-0.42,7.71,6,-1.29,-0.86,0.52,1
1258,-0.53,7.74,6.13,-2.51,-2.14,-0.15,1
1283,-0.52,7.89,6.28,-2.57,-1.53,-0.88,1
1307,-0.44,7.87,6.6,-1.9,-2.99,-1.79,1
1332,-0.61,7.98,6.57,1.21,-3.42,-2.4,1
1357,-0.72,7.94,6.42,4.44,1.28,-4.17,1
1381,-0.86,7.85,6.23,7.24,3.47,-3.32,1
1406,-0.85,7.76,6,7,1.82,-0.15,1
1430,-0.78,7.77,5.86,4.68,-1.16,2.9,1
1455,-0.59,7.68,5.81,2.67,-2.32,4.61,1
1479,-0.6,7.61,5.68,0.9,-1.41,4.43,1
1504,-0.37,7.7,5.75,-1.23,-0.74,3.21,1
1529,-0.49,7.78,6.07,-2.51,-3.42,2.53,1
1553,-0.43,7.75,6.09,-2.51,-1.53,1.86,1
1578,-0.38,7.76,6.13,-1.48,-1.96,0.77,1
1602,-0.42,7.85,6.04,1.09,0.18,-0.82,1
1627,-0.44,7.92,6.13,2.06,1.46,-2.34,1
1651,-0.67,7.82,6.18,0.72,-0.61,-2.47,1
1676,-0.75,7.73,6.19,0.54,-3.36,-0.33,1
1701,-0.55,7.98,6.06,0.9,-6.65,2.11,1
1725,-0.55,7.93,6.13,1.45,-4.58,2.66,1
1751,-0.41,7.89,6.06,1.88,-6.65,1.93,1
1775,-0.46,7.82,6.24,2.12,-3.78,1.62,1
1800,-0.28,7.8,6.68,4.68,-8.91,2.17,1
1824,-0.56,7.82,6.87,9.26,-9.09,3.57,1
1849,-0.49,7.82,6.77,14.01,-11.77,4.49,1
1874,-0.27,7.99,7.12,21.33,-9.58,3.33,1
1898,-0.16,8.12,7.32,33.46,6.4,0.77,1
1923,-0.12,8.1,7.1,42.12,6.64,-0.57,1
1947,0.01,8,6.48,45.11,-0.25,-0.09,1
1972,-0.03,8.05,5.78,44.5,-3.85,0.83,1
1997,-0.17,8.12,5.26,42.55,-3.36,1.62,1
2021,-0.27,8.15,4.76,40.72,-3.91,4.06,1
2046,-0.45,8.27,4.57,37.61,-3.6,4.97,1
2071,-0.02,8.55,4.74,39.56,5.79,4.3,1
2096,0.24,8.65,4.51,39.26,7.8,0.03,1
2120,0.22,8.66,3.92,37.73,8.9,-3.5,1
2145,-0.08,8.88,4.3,34.93,7.86,-6.67,1
2170,-0.16,8.87,4.19,35.54,10.36,-7.83,1
2194,0.39,9.05,4.3,36.21,15.24,-11.18,1
2219,0.44,9.04,4.12,35.11,5.06,-14.96,1
2243,0.24,9.26,4.41,36.45,21.21,-22.22,1
2268,0.77,9.4,5.01,46.88,35.91,-33.68,1
2293,0.63,9.38,5.29,60.54,48.9,-46.25,1
2318,0.87,9.43,5.12,77.43,50.48,-58.07,1
2343,0.16,9.33,3.79,89.56,52.5,-68.44,1
2367,-0.06,8.96,2.77,95.6,52.86,-77.1,1
2392,-0.82,8.84,1.88,96.88,42.5,-82.77,1
2417,-1.73,8.81,0.62,95.41,38.9,-83.38,1
2442,-1.86,8.76,-0.49,90.23,46.34,-85.82,1
2467,-1.59,8.48,-1.93,77.06,34.26,-90.57,1
2491,-1.85,7.81,-3.45,54.01,15.61,-97.95,1
2516,-1.74,7.46,-5.38,24.68,4.75,-111.18,1
2541,-2.12,6.94,-5.65,-21.41,13.41,-127.83,1
2566,-1.95,5.34,-6.33,-68,-34.03,-135.15,1
2590,-4.16,7.57,-5.67,-129.28,-70,-136.67,1
2615,-4.44,4.02,-3.69,-182.69,-113.48,-135.15,1
2641,-5.28,3.09,-0.95,-226.41,-159.82,-128.93,1
2665,-6.74,3.22,4.18,-241.23,-216.1,-106.37,1
2690,-8.65,4.09,7.59,-214.28,-277.87,-60.03,1
2715,-11.95,4.32,8.95,-185.07,-265.18,-9.11,1
2740,-12.18,4.37,10.01,-153.3,-207.81,44.73,1
2765,-10.93,3.77,11.35,-125.8,-142.32,85.34,1
2790,-8.55,3.34,12.57,-99.52,-120.8,117.05,1
2815,-7.21,3.3,11.53,-78.49,-137.87,143.51,1
2840,-6.24,1.47,10.15,-68.85,-144.45,164.67,1
2865,-4.51,1.97,10.55,-66.05,-112.5,178.94,1
2889,-1.67,2.01,11.82,-56.35,-125.49,190.52,1
2915,-0.12,1.61,11.65,-39.28,-187.08,202.41,1
2940,0.05,1.24,11.01,-17.45,-159.88,198.69,1
2964,1.23,0.6,12.32,15.11,-77.75,191.56,1
2990,2.91,0.27,12.39,47.73,-73.3,194.18,1
3014,4.78,0.15,11.76,76.63,-41.16,180.76,1
3039,7.02,-0.42,11.14,103.04,-12.93,154.12,1
3065,8.15,-0.3,11.44,111.08,5.97,116.07,1
3089,8.49,0.02,12.19,126.63,24.2,85.09,1
3114,8.75,0.39,12.35,153.71,35.85,56.19,1
3138,8.45,0.61,11.54,179.32,36.76,29.79,1
3164,8.23,1.15,11.64,203.34,61.89,2.78,1
3188,8.1,1.79,10.56,227.55,45.48,-18.26,1
3213,6.98,2.39,9.06,240.96,60.42,-38.07,1
3238,6.89,3.18,7.83,251.88,57.25,-50.76,1
3263,6.45,3.58,5.27,252.18,36.28,-61.55,1
3288,5.55,4.06,3.08,235.96,32.62,-74.23,1
3312,5.48,4.71,1.65,212.91,27.25,-83.99,1
3337,5.85,5.25,0.28,187.73,12.68,-96.43,1
3363,5.48,5.38,-1.12,158.77,-11.59,-113.01,1
3387,4.41,5.42,-1.98,125.29,-34.33,-129.35,1
3412,3.5,5.91,-1.96,99.19,-37.63,-145.15,1
3436,2.17,6.23,-2.12,82.67,-43.11,-162.22,1
3462,1.09,6.01,-3.01,66.69,-39.46,-172.71,1
3486,-0.61,5.9,-3.43,46.69,-23.97,-186.91,1
3511,-3.08,5.95,-3.92,41.21,10.61,-189.72,1
3536,-3.57,6.24,-4.25,34.68,32.86,-188.38,1
3561,-3.64,5.73,-5.69,13.77,19.81,-189.54,1
3586,-4.8,5.15,-7.06,-28.43,2.86,-198.5,1
3610,-7.04,4.18,-7.53,-77.63,-39.09,-180.76,1
3635,-7.76,3.96,-5.42,-136.66,-161.89,-137.1,1
3661,-8.56,3.49,-4.01,-191.05,-268.84,-91.31,1
3685,-9.6,3.5,-1.28,-238.12,-293.23,-54.9,1
3710,-10.42,3.4,2.72,-251.05,-301.28,-8.93,1
3735,-10.54,2.87,5.99,-252.08,-319.64,42.23,1
3760,-9.57,2.54,8.53,-242.02,-321.28,89.55,1
3784,-8.74,1.89,9.41,-227.27,-306.34,137.11,1
3810,-6.72,0.51,11.05,-217.33,-283.9,178.94,1
3835,-3.16,-0.68,13.95,-193,-290.73,213.45,1
3860,-0.27,-1.33,14.36,-153.61,-321.28,236.43,1
3885,1.17,-2.51,13.97,-106.17,-300.86,248.2,1
3909,2.92,-3.35,14.44,-46.29,-210.55,251.37,1
3935,5.6,-3.79,14.71,23.83,-149.82,238.87,1
3960,7.75,-4.41,14.35,90.41,-96.04,209.36,1
3984,8.48,-4.84,13.63,142.06,-36.53,168.26,1
4010,8.77,-5.3,13.84,183.4,18.41,135.16,1
4034,9.39,-5.61,13.92,219.74,37.37,112.9,1
4059,9.18,-4.98,13.05,248.4,32.31,93.69,1
4084,9.4,-4.62,12.42,272.3,79.57,69.61,1
4109,10.76,-3.73,12.37,292.61,89.2,45.46,1
4134,9.8,-3.82,11.34,313.34,82.98,26.44,1
4159,9.97,-3.01,9.73,321.39,85.85,11.25,1
4184,10.22,-1.73,7.73,320.84,68.17,-5.39,1
4208,9.49,-0.56,6.22,307.36,77.37,-29.72,1
4233,10.08,0.34,4.01,293.52,47.86,-50.09,1
4259,9.23,1.64,1.42,258.95,16.15,-71.92,1
4283,8.46,2.84,0.63,222.3,31.09,-97.04,1
4308,8.25,3.21,-0.02,193.64,31.95,-121.37,1
4332,8.27,4.13,-0.82,156.39,8.78,-145.21,1
4358,6.94,5.19,-1.21,116.51,-32.5,-170.33,1
4382,4.27,4.9,-0.9,94.56,-36.47,-194.41,1
