t_ms,ax,ay,az,gx,gy,gz,label
5,0.63,4.96,-9.22,13.77,7.25,-4.23,0
29,1.46,4.74,-9.94,15.54,25.97,-8.81,0
54,1.11,4.72,-10.93,12,-13.3,-15.88,0
79,1.27,4.62,-11.8,-4.65,-4.27,-18.62,0
103,-0.21,4.52,-11.4,-30.44,-2.99,-15.39,0
128,-0.31,4.11,-10.8,-57.39,22.98,-8.87,0
152,-0.51,4.19,-9.74,-75.5,35.54,-3.14,0
177,-0.39,4.39,-8.68,-82.21,26.21,2.47,0
201,0.26,4.55,-8.31,-81.23,39.75,4.49,0
227,0.89,4.71,-8.47,-83.73,36.64,-0.64,0
252,0.24,5.13,-7.45,-84.28,15.67,-2.22,0
276,0.25,5.57,-6.62,-77.51,19.81,1.62,0
301,1.07,6.09,-6.42,-68.43,14.45,3.45,0
325,1.21,6.39,-6.04,-59.77,-12.02,-0.7,0
350,0.53,6.76,-5.78,-52.15,-2.26,-2.83,0
375,0.49,6.97,-5.3,-45.56,14.26,-0.76,0
399,0.5,7.04,-5.16,-37.39,4.57,1.5,0
424,0.8,7.25,-5.14,-24.95,-5.13,4.73,0
448,1.06,7.2,-4.84,-14.16,-16.53,4.55,0
473,1.2,7.21,-4.77,-5.62,-18.05,2.66,0
497,1.17,7.09,-4.75,2,-14.76,0.03,0
522,1.01,7,-5,8.65,-8.72,-1.55,0
547,1.01,6.96,-5.4,14.01,-8.17,-2.4,0
572,0.78,6.95,-5.55,16.45,-18.11,-3.01,0
597,0.65,6.94,-5.71,18.52,-16.65,-4.48,0
621,0.51,7.04,-5.9,19.62,-4.46,-3.99,0
646,0.62,7.19,-6.15,19.32,-2.2,-3.14,0
670,0.37,7.33,-6.11,20.66,-6.65,0.4,0
695,0.59,7.33,-6.68,24.19,1.4,2.72,0
720,0.89,7.43,-7.26,24.32,3.72,3.21,0
744,1.17,7.48,-7.39,23.83,-3.72,2.96,0
769,1.4,7.24,-7.42,22.37,-7.44,1.74,0
793,1.41,6.72,-7.77,13.95,-5.74,-0.76,0
818,1.34,6.65,-7.67,2.73,1.89,-3.01,0
842,1.45,6.88,-7.45,-3.37,9.32,-4.29,0
867,1.36,6.83,-7.17,-6.23,7.92,-6.61,0
892,1.18,6.61,-6.65,-5.99,2.98,-8.93,0
916,0.89,6.69,-6.37,-4.95,6.4,-9.48,0
941,0.51,6.7,-6.39,-2.88,8.84,-8.44,0
965,0.17,6.76,-6.5,-0.44,5.67,-5.33,0
990,0.28,6.77,-6.64,0.9,1.76,-1.18,0
1015,0.5,6.75,-6.73,-0.01,7.8,1.44,0
1039,0.68,6.82,-6.84,-1.54,10,2.35,0
1064,1.06,6.83,-7.08,-1.96,8.04,1.01,0
1088,1.06,6.83,-7.07,-3,1.82,-2.16,0
1113,0.77,6.79,-6.86,-5.56,4.14,-4.17,0
1137,0.58,6.87,-6.37,-4.77,9.75,-3.56,0
1162,0.95,6.72,-6.26,-1.05,5.24,-4.48,0
1187,1,6.82,-6.29,3.46,-0.31,-6.92,0
1212,0.66,6.69,-6.42,5.05,-3.05,-8.81,0
1237,0.49,6.68,-6.64,5.35,0.36,-8.68,0
1261,0.36,6.86,-6.85,4.87,-1.53,-6.55,0
1286,0.03,6.92,-6.7,3.95,-3.24,-2.65,0
1310,0.29,6.93,-6.92,3.95,2.86,1.5,0
1335,0.43,7.06,-7.1,4.13,1.22,3.94,0
1360,0.92,7.1,-7.44,4.68,0.36,4.67,0
1384,1.04,6.97,-7.54,2.37,2.07,2.9,0
1409,0.99,6.85,-7.31,-2.45,1.22,0.89,0
1433,1.04,6.92,-7.28,-4.52,5.18,-1.31,0
1458,0.93,6.77,-7.04,-5.32,-0.55,-4.11,0
1482,0.76,6.78,-6.79,-6.29,-1.22,-6.06,0
1507,0.56,6.61,-6.47,-6.17,1.09,-6.55,0
1532,0.73,6.61,-6.21,-6.17,0.12,-7.4,0
1556,0.48,6.57,-6.09,-3.31,0.91,-7.22,0
1581,0.34,6.54,-6.13,0.96,-1.59,-6,0
1605,0.22,6.7,-6.23,3.59,-3.54,-2.95,0
1630,0.38,6.9,-6.57,5.35,2.68,0.4,0
1655,0.5,6.9,-6.88,5.41,2.13,2.9,0
1679,0.64,6.95,-7.11,4.93,3.72,2.96,0
1704,0.85,7,-7.49,4.74,7.43,2.66,0
1728,0.89,6.89,-7.53,1.57,6.4,0.58,0
1753,1.09,6.84,-7.6,-0.38,2.19,-2.22,0
1777,0.89,6.84,-7.31,-2.63,-4.64,-4.72,0
1803,1.01,6.74,-7.24,-5.38,-2.14,-6.73,0
1828,0.8,6.77,-6.89,-7.76,-5.55,-8.26,0
1852,0.64,6.78,-6.68,-8.79,-3.78,-8.44,0
1877,0.65,6.8,-6.75,-7.76,-2.02,-8.32,0
1901,0.71,6.89,-6.81,-10.38,1.4,-8.87,0
1926,0.23,6.85,-6.93,-14.4,6.52,-8.93,0
1950,0.35,6.95,-7.04,-21.29,28.65,-8.32,0
1975,0.42,7.01,-6.91,-22.88,10,-6.92,0
2000,-0.05,7.16,-6.23,-22.88,-1.41,-5.82,0
2024,-0.37,7.32,-5.87,-17.09,5.97,-1.12,0
2049,0.03,7.34,-5.81,-12.76,2.98,4.06,0
2073,0.42,7.24,-5.97,-8.18,-6.22,5.71,0
2099,0.52,7.22,-6.05,-7.27,2.25,3.69,0
2123,0.92,7.36,-6.28,-7.27,12.25,0.4,0
2148,0.64,7.6,-6.36,-5.07,1.15,-0.7,0
2173,0.51,7.53,-6.46,-5.13,-7.44,0.89,0
2197,0.94,7.54,-6.93,-5.13,-2.14,-0.15,0
2222,0.61,7.77,-6.83,-8.61,-7.38,-1,0
2246,0.92,7.93,-7.1,-10.99,-4.39,-1.06,0
2271,1.12,8.12,-7.44,-13.73,0.91,-3.81,0
2296,1.23,8.34,-7.72,-17.88,-5.92,-7.71,0
2320,1.1,8.33,-7.61,-26.9,-7.81,-13.14,0
2345,0.91,8.16,-7.33,-34.77,-6.83,-16.18,0
