t_ms,ax,ay,az,gx,gy,gz,label
5,3.37,3.04,-8.24,3.22,0.48,-2.83,4
29,3.41,2.98,-8.41,4.74,-2.02,-2.77,4
53,3.56,3,-8.41,3.95,-0.74,-4.36,4
78,3.79,2.88,-8.4,3.16,5.12,-7.89,4
102,3.54,2.86,-8.35,4.5,1.58,-10.57,4
127,3.35,2.93,-8.32,4.93,-3.91,-11.25,4
152,3.19,2.92,-8.41,4.56,0.36,-11.18,4
177,3.1,2.8,-8.44,4.38,1.46,-10.51,4
201,2.68,2.98,-8.37,6.88,0.67,-6.73,4
226,2.94,2.76,-8.77,7.06,-6.59,-3.44,4
251,2.9,2.68,-8.77,3.46,-2.14,-2.4,4
275,3.23,2.62,-8.7,1.39,8.59,-2.71,4
300,3.66,2.7,-8.62,2.06,6.64,-5.45,4
324,3.56,2.75,-8.62,3.4,-1.53,-8.99,4
349,2.78,2.79,-8.41,3.83,-6.71,-8.81,4
373,2.78,2.83,-8.41,4.87,-0.43,-5.33,4
398,3.13,2.92,-8.36,7.12,-0.31,-4.54,4
423,3.03,2.84,-8.63,8.46,-3.48,-5.27,4
447,2.97,2.78,-8.88,6.69,-1.28,-5.51,4
472,3.1,2.63,-8.93,3.46,1.15,-6.31,4
496,2.96,2.74,-8.82,2.06,2.92,-6.61,4
521,2.79,2.76,-8.68,1.94,2.68,-5.94,4
546,2.87,2.73,-8.76,2.06,3.23,-4.17,4
570,2.89,2.67,-8.74,2.06,-0.43,-2.77,4
595,2.95,2.72,-8.77,1.09,3.04,-2.16,4
619,2.85,2.7,-8.96,-1.11,1.76,-1.79,4
644,2.88,2.76,-8.81,-3.31,-0.43,-1.86,4
668,2.83,2.75,-8.74,-5.07,3.47,-1.12,4
693,2.96,2.75,-8.56,-4.83,1.22,-0.64,4
718,2.96,2.8,-8.66,-4.4,-1.59,-0.33,4
742,2.92,2.84,-8.49,-3.73,-1.59,0.22,4
767,2.84,2.97,-8.38,-2.88,-0.68,1.38,4
791,3.06,2.93,-8.32,-2.45,-0.07,2.05,4
816,3.22,2.94,-8.44,-1.84,0.67,1.68,4
840,3.19,2.92,-8.44,-0.68,-2.02,0.95,4
865,2.92,2.92,-8.38,-0.62,-1.71,1.44,4
890,3.03,2.93,-8.33,-0.07,2.8,1.86,4
914,3.28,2.97,-8.43,1.63,0.73,2.23,4
939,3.3,2.89,-8.62,2.18,-2.14,1.25,4
963,3.13,2.93,-8.59,0.78,0.24,-0.15,4
988,3.17,3.02,-8.5,-0.44,1.95,-0.15,4
1012,3.19,2.94,-8.6,0.05,0.06,-0.03,4
1037,3.24,2.96,-8.62,0.66,-1.53,-0.45,4
1062,3.21,2.93,-8.55,1.21,-0.61,-1.86,4
1086,3.1,2.86,-8.55,1.51,-0.13,-2.65,4
1111,3.01,2.8,-8.52,1.57,-0.37,-2.71,4
1135,3.08,2.82,-8.57,1.69,-0.13,-2.4,4
1160,2.94,2.88,-8.45,1.76,-1.71,-2.04,4
1184,2.9,2.8,-8.53,2.06,-1.53,-1.55,4
1209,2.86,2.83,-8.58,2.12,-1.41,-0.94,4
1234,2.98,2.83,-8.7,1.82,0.36,-0.39,4
1258,2.85,2.85,-8.66,1.02,-0.49,0.16,4
1283,2.93,2.78,-8.62,0.35,0.06,0.46,4
1307,2.75,2.8,-8.55,-0.74,0.73,0.83,4
