t_ms,ax,ay,az,gx,gy,gz,label
5,1.42,8.05,-5.35,10.54,-8.42,-10.15,0
29,1.32,8.02,-5.3,7.24,-8.66,-8.44,0
54,1.18,8,-5.15,3.52,1.15,-5.88,0
79,0.82,7.78,-4.89,2.98,-1.65,-3.01,0
102,0.99,7.83,-4.63,5.54,-6.71,-0.94,0
127,1.13,7.9,-4.65,9.44,-17.38,0.34,0
152,1.12,7.96,-4.75,14.07,-21.22,1.68,0
177,1.26,7.94,-5.03,16.51,-26.96,2.6,0
201,1.53,7.87,-5,16.15,-25.61,2.29,0
226,1.48,7.88,-4.89,16.94,-36.28,1.07,0
251,1.2,8.11,-5.12,18.4,-17.02,2.35,0
275,1.36,7.99,-5.36,22.12,-5.13,3.33,0
300,1.51,7.65,-5.6,22.73,-21.1,3.82,0
324,2.09,7.53,-6.12,21.08,-7.2,1.93,0
349,1.89,7.73,-6.65,17.37,-1.1,-0.64,0
373,1.68,7.51,-6.93,14.93,-7.44,-3.87,0
398,1.29,7.43,-7.14,9.07,-15.49,-4.54,0
423,0.95,7.27,-6.83,8.04,-38.72,-3.68,0
447,1.25,7.48,-7,8.83,-51.22,-3.62,0
473,1.69,7.36,-6.91,-2.15,-19.27,-5.15,0
497,1.91,7.32,-6.91,-9.22,5.48,-10.03,0
522,1.24,7.37,-6.08,-11.9,-1.89,-13.07,0
547,0.84,7.75,-5.75,-7.21,-11.1,-13.32,0
571,0.62,7.66,-6.09,-7.02,2.8,-12.16,0
596,0.05,7.7,-5.74,-9.04,10.48,-9.78,0
620,1.03,7.53,-6.17,-10.87,8.65,-7.1,0
645,1.56,7.57,-6.2,-12.27,11.7,-4.9,0
669,0.46,7.6,-5.7,-11.72,8.11,-5.57,0
694,0.44,7.7,-5.77,-9.28,2.25,-3.01,0
719,0.88,7.59,-5.99,-10.62,-1.71,-2.47,0
743,0.95,7.73,-5.66,-10.93,-2.99,-3.68,0
768,0.96,7.9,-5.49,-9.16,-5.43,-4.23,0
792,0.9,7.91,-5.37,-6.6,3.04,-5.76,0
817,0.92,8.07,-5.68,-7.63,2.56,-6.43,0
841,0.84,7.84,-5.7,-7.94,0.12,-8.14,0
866,0.8,7.72,-5.69,-9.1,-1.65,-10.15,0
891,0.64,7.77,-5.75,-10.99,-0.37,-11.86,0
915,0.64,7.86,-6.03,-11.11,-11.53,-11.92,0
941,0.91,7.71,-6.09,-16.41,-13.05,-13.62,0
965,0.83,7.73,-6.06,-20.87,-15.49,-16.55,0
990,0.75,7.76,-6.21,-26.84,3.04,-18.5,0
1015,0.53,7.96,-6.29,-34.04,9.45,-18.93,0
1039,0.47,7.98,-5.91,-40.5,13.72,-19.9,0
1064,0.1,8.21,-5.69,-44.83,21.64,-19.23,0
1089,0.77,8.21,-5.69,-50.62,36.28,-19.6,0
1114,0.13,8.33,-5.01,-55.32,19.93,-22.1,0
1138,-0.58,8.57,-4.85,-54.46,15.91,-19.66,0
1163,-0.66,8.55,-4.59,-57.82,1.22,-15.51,0
1188,-0.77,8.94,-4.35,-59.65,9.45,-9.36,0
1212,-0.2,9.14,-3.51,-58.91,12.86,-6.73,0
1238,-0.14,9.19,-3.08,-57.02,-1.04,-5.33,0
1262,-0.16,9.08,-2.54,-55.99,0.85,-6.49,0
1287,-0.11,9.17,-2.05,-52.76,9.2,-6.61,0
1311,0.03,8.94,-1.63,-47.76,9.93,-8.38,0
1336,-0.24,8.74,-1.15,-43.67,-2.81,-10.39,0
1361,-0.45,8.8,-0.81,-39.04,-2.38,-9.78,0
1385,0.07,8.55,-0.38,-34.4,6.95,-10.39,0
1410,-0.36,8.28,0.51,-27.76,-1.71,-12.89,0
1434,-1.28,8.62,1.45,-12.82,-1.77,-11.61,0
1460,-1.43,8.58,2.12,6.27,-1.59,-6.43,0
1485,-1.74,8.6,2.5,27.3,-0.19,1.19,0
1509,-1.76,8.05,3.45,52.12,11.15,8.21,0
1534,-2.17,7.59,4.49,84.38,12.8,13.69,0
1558,-3.36,7.12,4.92,124.25,24.39,26.32,0
1583,-4.42,6.48,4.95,167.3,44.81,52.72,0
1608,-4.2,4.56,4.79,214.25,67.68,89.61,0
1633,-3.88,1.28,3.83,244.31,47.92,131.19,0
1658,-1.49,-3.03,1.05,317.36,-23.66,168.39,0
1682,2.24,-5.93,-3.58,404.8,-82.44,170.34,0
1708,5.13,-8.55,-13.43,426.32,-92.75,127.72,0
1732,5.88,-6.55,-19.22,370.04,-85.13,69.85,0
1757,5.4,-3.05,-19.22,239.68,-25.55,32.9,0
1783,5.15,-0.16,-19.22,117.18,-51.41,6.86,0
1807,4.02,-0.4,-19.22,-20.56,-36.04,-5.94,0
1832,3.99,-0.31,-19.22,-121.29,-24.76,-9.72,0
1856,3.16,0.51,-16.26,-149.83,16.64,-10.27,0
1882,3.39,1.68,-13.76,-147.39,-6.35,-15.82,0
1906,3.02,2.03,-12.24,-148.43,8.11,-26.37,0
1931,3.4,2,-11.53,-153.55,38.9,-41.73,0
1956,3.07,2.02,-10.87,-166.05,-4.82,-56.73,0
1981,2.8,2.12,-10.34,-182.33,23.04,-69.11,0
2006,1.91,2.41,-9.24,-191.29,19.87,-78.32,0
2030,0.88,2.84,-8.62,-198.85,51.09,-81.85,0
2056,0.36,3.44,-6.53,-199.34,7.98,-83.32,0
2080,0.19,4.25,-6.31,-194.71,25.91,-79.6,0
2105,0.28,4.24,-5.57,-196.29,22.62,-82.53,0
2130,-0.48,4.99,-4,-193.85,16.82,-82.95,0
2154,-1.3,5.65,-2.83,-189.52,36.95,-79.96,0
2180,-0.92,5.84,-1.94,-182.21,54.51,-78.62,0
2204,-1.81,6.51,-1.22,-174.83,47.68,-78.2,0
2229,-3.29,6.75,-0.32,-168.73,54.87,-71.49,0
2254,-3.58,6.61,0.31,-158.18,81.82,-61.73,0
2279,-3.8,6.55,2.14,-143.67,20.61,-55.39,0
2304,-4.32,7.14,2.98,-126.6,1.7,-43.01,0
2328,-4.39,7.42,4.08,-111.47,11.64,-30.45,0
2353,-4.83,7.51,5.07,-91.23,16.64,-16.61,0
2378,-4.97,7.57,6.01,-64.95,-23.54,-5.51,0
2403,-4.22,8.47,6.66,-33.91,-12.32,10.64,0
2428,-3.36,8.21,7.89,-3.55,-10.43,17.72,0
2452,-3.73,8.78,8.23,38.46,-14.88,22.84,0
2477,-3.93,8.43,8.56,82.49,-27.14,33.14,0
2502,-3.79,7.89,8.27,123.4,-30.61,45.46,0
2527,-4.46,6.42,7.88,161.21,-27.14,56.68,0
2552,-5.57,5.48,7.92,200.23,-19.03,76.01,0
2576,-5.73,4.19,7.6,243.46,10.18,110.83,0
2602,-4.85,1.77,6.66,277,59.69,153.2,0
2626,-4.55,-3.1,5.3,282.55,23.9,200.64,0
2651,-2.55,-7.43,2.3,318.09,-76.28,231.92,0
2675,-0.56,-11.59,-2.34,449.98,-120.37,247.65,0
2701,1.54,-15.95,-5.48,544.68,-261.77,201.74,0
2726,-0.8,-18.63,-11.09,571.32,-226.1,147.41,0
2751,1.97,-15.69,-19.22,557.48,-7.5,128.69,0
2776,5.82,-12.11,-19.22,407.18,-75.98,108.08,0
2800,3.65,-8.28,-19.22,200.78,-113.84,60.34,0
2826,2.76,-7.08,-19.22,46.76,24.32,35.34,0
2851,5.66,-7.7,-19.22,-59.95,35.3,4.43,0
2875,6.29,-7.32,-19.22,-126.96,18.47,-22.22,0
2901,3.9,-4.95,-17.89,-160.86,-12.44,-38.26,0
2925,2.27,-3.76,-15.29,-183.79,33.71,-50.09,0
2950,3.16,-3.11,-14.13,-195.38,91.09,-68.87,0
2974,3.71,-3.54,-13.3,-213.91,73.78,-92.89,0
3000,2.41,-2.9,-11.72,-231.41,51.64,-109.72,0
3025,1.35,-1.45,-9.8,-247.51,57.19,-112.04,0
3049,1.83,-0.56,-9.86,-239.77,82.62,-112.59,0
3075,1.79,-0.56,-8.65,-239.83,53.04,-118.26,0
3099,1.47,0.97,-7.34,-234.52,91.03,-120.94,0
3124,1.29,2.12,-6.71,-227.08,115.67,-124.9,0
3150,0.31,2.8,-5.16,-207.21,98.17,-126.92,0
3174,-0.41,3.73,-4.89,-196.29,126.52,-123.2,0
3199,-2.02,4.36,-4.61,-190.8,118.17,-116.37,0
3224,0.12,4.47,-3.23,-174.83,47.8,-119.54,0
3249,-0.35,5.38,-2.57,-159.22,23.9,-115.33,0
3273,-0.31,5.93,-1.51,-150.74,29.32,-108.87,0
3299,-0.56,6.31,-1.19,-143.24,23.53,-106.24,0
3324,-1.9,6.71,-0.69,-136.54,26.89,-102.28,0
3348,-2.01,7.13,-0.16,-131.96,38.29,-94.66,0
3373,-2.3,6.79,0.6,-128.61,48.47,-92.83,0
3398,-2.69,7.35,0.93,-119.83,26.15,-90.21,0
3423,-3.55,7.08,1.71,-114.1,5.24,-84.9,0
3448,-4.14,6.87,2.86,-106.23,21.64,-78.14,0
3472,-4.8,7.1,4.12,-96.47,20.24,-70.45,0
3498,-5.56,7.42,4.7,-82.27,29.14,-60.33,0
3522,-6.08,8.05,5.43,-56.9,17.56,-45.09,0
3547,-7.3,8.02,5.74,-32.63,6.89,-25.64,0
