t_ms,ax,ay,az,gx,gy,gz,label
5,-4.24,-0.79,11.16,-11.41,-8.05,1.5,3
29,-3.96,-0.85,11.44,-1.66,1.28,1.8,3
54,-3.79,-1.08,11.23,8.04,0.54,0.46,3
79,-3.73,-1.23,10.76,15.35,0.61,-1.55,3
103,-3.78,-1.37,10.39,20.48,5.54,-2.16,3
128,-3.77,-1.38,9.8,23.52,4.81,-2.04,3
152,-3.81,-1.42,9.22,24.01,6.52,-2.04,3
177,-3.86,-1.45,8.8,22.49,9.2,-0.39,3
201,-3.85,-1.56,8.33,20.41,9.57,3.02,3
226,-3.79,-1.52,8.16,16.15,13.72,4.49,3
251,-3.61,-1.33,8.23,10.48,7.68,4.43,3
275,-3.62,-1.01,8.16,3.59,0.12,3.02,3
300,-3.84,-0.99,8.53,-1.66,-0.92,3.57,3
324,-3.99,-1.05,8.78,-3.73,-4.21,6.68,3
349,-3.8,-0.98,9,-6.78,-4.39,7.41,3
373,-3.78,-0.98,9.19,-10.13,-5,6.32,3
398,-3.88,-1,9.59,-12.09,-5.19,6.38,3
423,-4.02,-1.1,9.86,-11.78,-7.69,8.33,3
447,-3.97,-0.98,10.02,-10.5,-8.97,8.27,3
472,-4.03,-0.84,10.17,-7.51,-8.72,8.21,3
496,-4.09,-0.82,9.92,-5.2,-5.86,8.94,3
521,-4.02,-0.8,9.8,-5.26,-3.78,10.58,3
547,-3.75,-0.82,9.69,-6.6,-10,11.38,3
571,-3.61,-0.65,9.7,-6.84,-11.41,9.67,3
596,-3.63,-0.69,9.72,-5.81,-7.32,7.11,3
620,-3.57,-0.73,9.82,-4.77,-4.46,3.75,3
645,-3.62,-0.81,9.88,-4.1,-4.46,1.25,3
669,-3.55,-0.89,9.85,-2.82,-5.49,0.64,3
694,-3.64,-0.9,9.7,-1.54,-5.98,0.89,3
719,-3.42,-0.89,9.61,-1.23,-4.76,-0.39,3
743,-3.44,-0.89,9.49,-2.33,-3.91,-2.53,3
768,-3.5,-0.94,9.55,-1.9,-2.99,-2.4,3
792,-3.41,-0.89,9.55,-2.88,-2.26,-1.79,3
817,-3.58,-0.77,9.78,-4.1,-2.99,0.52,3
841,-3.37,-0.89,9.95,-4.28,-4.64,3.21,3
866,-3.36,-0.86,10.16,-5.13,-7.32,3.63,3
891,-3.44,-0.86,10.42,-3.85,-6.47,2.9,3
915,-3.31,-0.74,10.41,0.41,-5.13,3.08,3
940,-3.28,-0.79,10.17,4.56,-3.05,2.66,3
964,-3.32,-0.84,9.94,6.57,0.18,2.11,3
989,-3.27,-0.81,9.67,7.3,-1.1,1.68,3
1013,-3.15,-0.77,9.51,6.45,-0.68,0.89,3
1038,-3.13,-0.83,9.47,4.93,-0.43,-0.03,3
1063,-3.38,-0.79,9.42,2.43,3.29,-0.82,3
1087,-3.27,-0.78,9.43,2.18,1.46,0.71,3
1112,-3.18,-0.67,9.72,1.21,0.24,0.71,3
1136,-3.05,-0.71,9.76,1.94,-0.61,0.16,3
1161,-3.07,-0.8,9.78,1.82,-1.04,-1.49,3
1186,-3.08,-0.77,9.76,1.02,2.19,-2.77,3
1210,-3.28,-0.87,10.08,0.78,0.73,-2.83,3
1235,-3.43,-0.73,10.16,3.4,-1.22,-1.79,3
1259,-3.3,-0.85,9.9,5.72,1.7,-1.43,3
1284,-3.22,-0.78,9.79,6.94,4.69,-2.16,3
1309,-3.33,-0.88,9.68,7.49,3.9,-2.89,3
1334,-3.32,-0.9,9.53,7.61,4.14,-2.65,3
1359,-3.24,-0.88,9.34,5.54,2.8,-3.5,3
1383,-3.31,-0.9,9.53,3.16,2.25,-4.78,3
1408,-3.46,-0.92,9.6,2.06,0.54,-4.11,3
1432,-3.52,-0.93,9.48,1.39,-1.28,-3.68,3
1457,-3.44,-0.96,9.43,0.78,1.4,-3.87,3
1481,-3.59,-0.92,9.53,-0.2,0.18,-3.56,3
1506,-3.66,-0.83,9.62,-0.62,-3.18,-2.22,3
1531,-3.69,-0.8,9.61,0.29,-2.32,-1.98,3
1555,-3.66,-0.72,9.64,0.35,-1.04,-1.98,3
1580,-3.7,-0.67,9.56,0.6,-0.68,-1.12,3
1604,-3.65,-0.58,9.55,0.11,-0.92,-0.51,3
1629,-3.71,-0.52,9.58,-1.11,-0.86,-0.15,3
1653,-3.79,-0.58,9.76,-1.17,-0.25,1.25,3
1678,-3.74,-0.57,9.74,-0.99,0.24,3.14,3
1703,-3.61,-0.67,9.72,-1.54,1.03,3.45,3
1727,-3.46,-0.71,9.81,-2.63,-0.86,3.02,3
1752,-3.4,-0.81,10.01,-2.82,0.3,1.8,3
1776,-3.34,-0.84,10.18,-0.93,1.82,0.83,3
1802,-3.18,-0.7,10.04,2.49,0.97,-1.31,3
1827,-3.15,-0.65,9.96,5.9,4.75,-4.9,3
1851,-3.24,-0.76,9.73,7.85,10.42,-7.34,3
1876,-3.32,-0.73,9.55,7.73,10.24,-8.07,3
1900,-3.38,-0.88,9.38,5.41,5.06,-8.38,3
1925,-3.42,-0.84,9.14,3.04,0.85,-8.99,3
1949,-3.78,-0.92,9.05,1.27,1.95,-9.23,3
1974,-3.94,-1.01,8.77,-1.05,2.37,-6.25,3
1999,-3.91,-1.14,8.6,-5.07,-1.47,-1.37,3
2023,-3.96,-1.14,8.71,-9.77,-2.08,2.84,3
2048,-3.68,-1.03,8.8,-12.33,-3.11,5.83,3
2072,-3.45,-0.96,8.88,-14.46,-5.74,4.61,3
2097,-3.54,-1.01,8.84,-15.87,-0.55,1.93,3
2121,-3.81,-1.1,9.02,-17.88,4.57,1.93,3
2147,-4.02,-1.17,9.09,-19.95,5.61,3.51,3
2172,-4.09,-1.28,9.15,-25.13,9.87,4.73,3
2196,-4.33,-1.33,9.36,-32.27,11.46,5.89,3
2221,-4.66,-1.37,10,-37.15,7.01,10.03,3
2245,-4.72,-1.3,10.25,-37.94,-2.14,17.11,3
2270,-5.05,-1.23,10.79,-38.49,-10.98,25.83,3
2296,-5.44,-1.68,11.6,-36.9,-2.75,35.83,3
2320,-5.64,-1.23,12.25,-34.16,5.42,44.85,3
2345,-6.38,-0.83,13.3,-26.72,2.98,55.95,3
2369,-6.77,-0.75,13.92,-17.82,-6.04,69.85,3
2394,-7.41,-1.39,16.51,-7.94,11.28,84.49,3
2419,-7,-1.5,18.98,28.04,63.59,112.35,3
2444,-6.53,-1.6,19.98,67.3,28.53,133.2,3
2469,-4.73,-1.91,19.98,128.46,27.5,146.92,3
2493,-2.88,-2.87,19.3,183.71,41.34,141.13,3
2519,-1.36,-3.15,17.18,225.29,40.91,125.58,3
2543,-1.01,-3.74,13.83,257.24,36.82,108.02,3
2568,-0.03,-3.86,10.09,266.75,107.25,93.39,3
2594,1.48,-3.09,6.85,261.08,121.15,84.97,3
2618,3.03,-2.49,3.68,230.35,64.2,62.6,3
2643,5.85,-0.74,0.96,190.41,56.34,9.79,3
2668,8.02,-0.08,-0.02,148.16,69.75,-63.5,3
2693,8.03,-0.52,-0.29,113.71,69.63,-146.79,3
2717,6.96,-2.08,-0.6,88.52,26.52,-226,3
2742,5.17,-4.68,-0.82,53.65,-20.43,-300.51,3
2768,3.16,-7.8,-0.17,13.1,-69.15,-359.11,3
2792,1.63,-10.49,1.76,-31.35,-141.77,-407.16,3
2817,0.87,-13.68,5.42,-68.37,-203.42,-458.92,3
2842,-1.73,-17.67,10.58,-84.04,-225.86,-519.05,3
2867,-6.4,-19.65,16.93,-65.56,-221.83,-553.44,3
2891,-11.38,-19.65,19.98,-3.61,-165.43,-554.9,3
2917,-15.27,-19.65,19.98,84.93,-44.03,-498.98,3
2942,-13.31,-19.12,19.98,169.01,55,-426,3
2967,-10.22,-17.24,19.98,231.88,43.65,-356.91,3
2992,-8.91,-16.79,19.33,262.85,-40.13,-319.54,3
3016,-10.32,-15.96,18.57,290.78,-64.82,-291.85,3
3042,-12.04,-13.43,17.06,323.46,-79.27,-247.71,3
3067,-16.24,-12.21,14.12,333.03,-121.04,-180.88,3
3092,-16.05,-9.27,10.36,333.4,-108.78,-97.16,3
3117,-17.41,-6.39,6.22,305.59,-106.41,-6.12,3
3142,-16.37,-5.63,4.84,281.94,-62.87,92.23,3
3167,-14.08,-6.84,3.57,253.95,5.73,186.68,3
3192,-12.5,-7.92,1.84,214.13,2.37,265.95,3
3216,-9.7,-9.75,1.56,173.89,40.97,335.52,3
3242,-7.21,-10.7,1,125.29,28.65,391.86,3
3266,-6.46,-12.93,0.91,80.47,-15.55,438.14,3
3291,-4.74,-14.14,1.83,47.49,-5.8,478.81,3
3316,-3.92,-16.55,3.09,19.99,85.42,508.26,3
3341,-3.12,-19.65,5.87,-19.71,198.1,532.22,3
3366,-1.55,-19.65,8.66,-66.66,249.63,543.81,3
3391,-1.34,-19.65,11.68,-114.77,233.83,543.08,3
3416,2.01,-19.65,16.7,-133.97,144.2,549.05,3
3440,5.54,-19.65,19.37,-103.91,-81.77,549.36,3
3466,6.09,-19.65,19.98,-19.71,-118.84,500.94,3
3491,11.79,-19.65,19.98,53.16,-43.24,423.14,3
3516,12.91,-17.72,19.98,119.93,-120.43,323.63,3
3541,12.59,-15.72,19.98,202.42,-77.56,219.06,3
3566,10.15,-15.06,19.98,293.89,-52.63,134.85,3
3591,7.48,-15.63,19.98,379.13,-6.35,80.4,3
3615,6.15,-16.33,17.36,431.69,48.47,61.31,3
3641,6.78,-15.23,11.7,441.57,67.68,53.57,3
3666,8.65,-12.17,6.91,418.7,72.13,35.95,3
3690,11.39,-8.8,3.29,366.08,52.74,-5.33,3
3716,11.63,-6.22,0.23,305.41,57.01,-71.24,3
3740,11.38,-4.85,-0.54,236.51,67.74,-134.54,3
3765,9.75,-4.4,-1.22,176.82,39.26,-194.72,3
3791,8.58,-4.83,-1.48,116.27,10.97,-250.08,3
3815,7.87,-5.51,-1.23,54.32,-32.44,-311,3
3840,6.62,-7.86,0.49,-6.29,-91.22,-383.68,3
3864,5.5,-11.06,2.62,-55.07,-125.73,-460.63,3
3890,3.49,-16.33,5.42,-89.46,-151.71,-538.25,3
3914,1.52,-19.65,9.09,-123.73,-192.75,-610.63,3
3939,-0.59,-19.65,14.43,-134.28,-207.2,-669.59,3
3965,-4.83,-19.65,19.98,-112.15,-221.22,-701.06,3
3989,-10.2,-19.65,19.98,-19.59,-137.69,-678.62,3
4015,-13.28,-19.65,19.98,98.83,13.53,-589.23,3
4039,-9.03,-19.65,19.98,167.85,40,-480.27,3
4065,-7.01,-19.65,17.03,178.52,-34.76,-410.39,3
