.03,8.00,0.21,1.57,8.53,-20.76,0
24451,-7.10,8.00,0.24,1.33,16.28,-20.15,0
24402,-6.70,7.90,0.38,1.45,-0.61,-22.46,0
24426,-7.03,8.00,0.21,1.57,8.53,-20.76,0
24451,-7.10,8.00,0.24,1.33,16.28,-20.15,0
Initialize MPU6050
* Clock Source: 1
* Accel Range:  0
* Accel Offset Registers: -1530 / -493 / 432
===== Calibration Complete =====
t_ms,ax,ay,az,gx,gy,gz,label
5,-6.73,7.59,0.38,13.34,0.30,-8.44,0
29,-6.93,7.73,0.08,11.82,3.78,-6.18,0
54,-7.38,7.80,-0.09,8.65,0.06,-3.81,0
79,-7.42,7.91,-0.07,6.21,2.13,-0.03,0
103,-7.24,8.07,0.04,4.50,2.07,3.21,0
127,-7.37,8.09,-0.11,3.40,-0.37,4.91,0
151,-7.49,7.88,-0.44,3.10,-4.88,9.43,0
176,-7.08,7.75,-0.52,2.43,-1.28,15.77,0
201,-6.69,7.82,-0.46,-0.20,3.90,19.30,0
226,-6.23,7.90,-0.26,-4.28,7.86,19.85,0
251,-6.06,8.15,-0.05,-7.02,4.63,16.56,0
275,-5.79,8.10,0.21,-8.37,0.48,12.23,0
300,-5.90,8.00,0.32,-8.37,-4.09,8.39,0
324,-6.02,7.92,0.43,-6.05,-5.55,6.38,0
349,-6.17,7.85,0.30,-3.49,-2.20,5.28,0
373,-6.38,7.80,0.10,-2.70,-2.57,5.77,0
398,-6.54,7.76,0.08,-2.94,-1.47,8.21,0
423,-6.12,7.85,0.21,-2.57,0.36,9.30,0
447,-5.70,7.97,0.42,-1.05,-0.37,8.27,0
472,-5.63,7.88,0.42,0.84,0.61,6.38,0
496,-5.70,7.91,0.25,2.55,1.22,4.43,0
521,-5.84,8.02,0.05,2.37,2.31,3.39,0
546,-5.93,8.07,-0.03,0.29,1.82,2.29,0
570,-6.10,8.01,0.01,-1.96,0.42,2.78,0
595,-5.96,8.09,0.06,-2.27,1.64,3.69,0
619,-5.81,8.13,0.17,-1.78,3.11,3.02,0
644,-5.68,8.05,0.12,-2.21,3.17,1.19,0
668,-5.91,8.10,0.15,-2.76,-0.92,-0.64,0
693,-6.06,8.07,0.16,-2.94,-0.86,0.10,0
718,-5.83,8.08,0.25,-2.39,2.13,0.03,0
742,-5.79,8.06,0.35,-1.29,1.95,-1.92,0
767,-6.06,8.04,0.27,-1.41,-0.49,-3.07,0
791,-6.11,8.13,0.33,-0.62,-1.04,-2.47,0
816,-6.19,8.15,0.37,1.09,0.67,-1.25,0
840,-6.32,8.23,0.29,1.82,1.82,-0.70,0
865,-6.27,8.17,0.26,1.63,0.61,-0.03,0
890,-6.26,8.21,0.14,1.39,0.85,0.58,0
914,-6.37,8.09,-0.01,0.84,1.34,1.32,0
939,-6.28,8.15,-0.07,-0.50,0.85,2.35,0
963,-6.16,8.05,0.04,-1.90,-0.74,2.78,0
988,-5.99,8.07,0.13,-3.24,-0.98,2.84,0
1012,-5.94,8.10,0.33,-3.00,-1.53,1.80,0
1037,-5.97,8.21,0.40,-1.29,-1.28,1.07,0
1062,-5.99,8.20,0.31,-0.26,0.18,0.64,0
1086,-6.15,8.11,0.18,0.05,-0.25,0.58,0
1111,-6.24,8.15,0.12,-0.13,-0.55,1.74,0
1135,-6.07,8.16,0.22,-0.26,-0.31,3.14,0
1160,-5.94,8.16,0.32,-0.07,-0.13,3.94,0
1184,-5.77,8.25,0.31,0.35,0.67,3.45,0
1209,-5.86,8.30,0.24,0.90,2.07,1.80,0
1234,-6.00,8.15,0.07,0.66,-0.25,1.50,0
1258,-6.10,8.11,0.02,0.05,-1.41,2.23,0
1283,-6.06,8.18,0.01,-0.44,0.61,2.72,0
1307,-6.03,8.23,0.02,-1.66,0.06,3.14,0
1332,-5.93,8.31,0.17,-2.45,-1.59,2.60,0
