t_ms,ax,ay,az,gx,gy,gz,label
5,-1.27,8.13,5.29,-253.06,-142.75,419.42,0
29,-1.21,8.2,5.06,-9.77,-30.19,6.8,0
54,-1.32,8.18,5.09,-7.7,3.41,-13.38,0
79,-1.42,8.27,5.11,-6.6,-5.68,-22.89,0
103,-1.4,8.32,5.22,-17.09,-24.21,-27.1,0
128,-1.59,8.4,5.2,-25.32,-14.33,-24.11,0
152,-1.71,8.28,5.24,-29.28,-22.81,-14.05,0
177,-1.78,8.31,5.32,-29.52,-48.3,0.34,0
201,-1.66,8.23,5.24,-32.39,-74.15,8.88,0
227,-1.58,8.18,5.15,-32.82,-55.49,4.73,0
252,-1.65,8.11,5.1,-42.63,-29.64,-4.42,0
276,-1.67,8.17,5.24,-41.96,-23.11,-8.07,0
301,-1.73,8.21,5.25,-52.57,-32.93,-9.9,0
325,-1.84,8.14,5.42,-58.06,-38.54,-4.36,0
350,-1.84,8.11,5.66,-49.28,-31.53,7.84,0
375,-1.83,8.17,5.47,-40.26,-21.53,15.95,0
399,-1.63,8.25,5.45,-41.35,-29.7,21.8,0
425,-1.63,8.31,5.68,-40.19,-28.24,21.99,0
449,-1.7,8.21,5.62,-33.49,-31.28,28.27,0
474,-1.57,8.28,5.6,-31.84,-26.04,27.96,0
498,-1.61,8.32,5.58,-35.32,-13.6,28.45,0
523,-1.67,8.33,5.62,-29.04,-4.88,42.66,0
548,-1.56,8.46,5.47,-30.2,-44.52,52.35,0
573,-1.55,8.56,5.45,-48.67,-51.41,51.74,0
598,-1.6,8.43,5.72,-62.57,-39.46,51.19,0
622,-1.62,8.03,5.94,-49.77,-28.24,55.34,0
647,-1.49,7.77,5.87,-18.91,-46.35,60.52,0
671,-1.01,7.62,5.6,-4.16,-41.22,64.49,0
696,-0.71,7.65,5.39,-11.17,-57.14,55.71,0
721,-0.64,7.76,5.25,-30.62,-87.02,38.08,0
746,-0.59,7.82,5.26,-59.16,-81.77,10.16,0
771,-0.83,7.88,5.57,-86.54,-57.69,-12.28,0
795,-1.03,7.91,5.96,-96.29,-79.27,-18.62,0
820,-1.29,7.9,6.38,-90.93,-105.31,-14.11,0
845,-1.44,7.78,6.76,-58.67,-94.03,-0.27,0
869,-1.38,7.77,6.52,-24.46,-71.89,13.57,0
895,-1.09,7.8,6.35,2.79,-68.48,11.74,0
919,-0.94,7.8,6.09,13.52,-85.19,-4.23,0
944,-1.04,7.66,5.97,23.16,-67.5,-26.86,0
968,-1.09,7.65,5.81,27.79,-26.53,-48.14,0
993,-1.11,7.82,5.82,16.02,-6.47,-54.42,0
1018,-1.34,7.9,5.93,-4.77,-37.87,-50.27,0
1042,-1.42,7.79,6.14,-2.27,-52.38,-40.51,0
1068,-1.45,7.86,6.1,14.44,-29.27,-38.26,0
1092,-1.34,7.82,5.92,17.91,-15.67,-32.53,0
1117,-1.46,7.76,5.9,4.62,-21.16,-17.46,0
