t_ms,ax,ay,az,gx,gy,gz,label
5,8.31,2.19,-1.45,8.4,-3.48,3.45,4
29,8.31,2.15,-1.58,9.68,-2.63,6.93,4
54,8.61,2.01,-1.72,10.48,-0.55,9.73,4
79,9.04,1.95,-1.72,11.33,-2.08,10.64,4
103,9.1,1.85,-1.95,12.06,-8.66,9.67,4
128,9.23,1.79,-2.09,11.57,-6.77,7.47,4
152,9.27,1.72,-2.14,9.68,-7.14,5.64,4
177,9.16,1.65,-2.17,6.82,-10.31,3.39,4
201,8.88,1.74,-2.2,3.83,-9.39,1.74,4
226,8.82,1.82,-1.99,0.9,-2.5,1.62,4
251,9.07,1.8,-1.95,-0.93,-0.25,1.19,4
275,8.87,1.8,-1.89,-3.18,-4.58,-0.64,4
300,9.1,1.84,-1.8,-4.34,4.93,-1.98,4
324,8.97,1.9,-1.66,-4.59,-2.69,-2.28,4
349,8.86,1.78,-1.66,-4.34,-5.74,-1.67,4
373,8.73,1.83,-1.44,-3.91,1.28,-0.21,4
398,8.76,1.83,-1.46,-3.18,-1.1,0.71,4
423,8.74,1.76,-1.41,-2.33,-1.96,1.62,4
447,8.75,1.7,-1.36,-1.41,0.06,1.62,4
472,8.83,1.72,-1.33,-0.07,1.7,0.28,4
496,8.88,1.66,-1.31,0.66,2.98,-1.31,4
521,8.69,1.74,-1.54,-0.5,3.23,-2.1,4
546,8.41,1.81,-1.44,-1.05,-0.25,-2.16,4
570,8.6,1.77,-1.25,-0.62,7.31,-0.64,4
595,8.72,1.9,-1.47,0.17,7.92,2.9,4
619,8.75,1.82,-1.39,1.39,-1.28,5.34,4
644,9.15,1.87,-1.52,2.79,-8.72,6.19,4
668,9.06,1.91,-1.52,3.52,-6.83,5.34,4
693,8.97,1.78,-1.61,4.01,-0.61,3.69,4
718,8.97,1.77,-1.62,5.48,2.01,2.47,4
742,9.14,1.73,-1.75,7.43,-3.6,2.29,4
767,9.02,1.66,-1.89,8.28,-7.44,1.74,4
791,8.92,1.68,-2.13,7.24,-5.07,1.25,4
816,8.86,1.63,-2.18,4.56,-3.11,0.34,4
840,8.89,1.61,-2.2,2.24,-0.13,-0.15,4
865,8.8,1.52,-2.24,-0.2,-2.08,-0.33,4
890,8.88,1.62,-2.14,-2.57,0.73,-0.03,4
914,8.89,1.64,-1.87,-3.73,1.76,0.64,4
939,8.89,1.62,-1.76,-4.1,-0.61,0.34,4
963,8.96,1.68,-1.71,-3.24,1.09,-0.64,4
988,9.03,1.64,-1.73,-2.51,0.06,-1.49,4
1012,8.9,1.68,-1.68,-3,-1.71,-1.98,4
1037,8.81,1.75,-1.75,-3.98,0.85,-1.98,4
1062,8.77,1.81,-1.57,-4.16,1.95,-2.83,4
1086,8.65,1.89,-1.46,-3.49,4.14,-2.83,4
1111,8.58,1.75,-1.41,-1.66,2.86,-1.79,4
1135,8.61,1.8,-1.4,0.35,0.73,-0.57,4
1160,8.65,1.97,-1.55,1.69,0.85,0.58,4
1184,8.51,1.9,-1.56,2.85,-0.74,1.07,4
1209,8.59,1.8,-1.64,4.32,1.09,2.05,4
1234,8.7,1.85,-1.76,4.93,1.15,3.14,4
1258,8.83,1.84,-1.9,4.8,0.54,3.57,4
1283,8.9,1.74,-1.99,4.5,-1.28,3.33,4
1307,8.98,1.69,-1.92,4.13,-3.66,2.78,4
1332,9.01,1.64,-2.08,2.98,0.48,1.68,4
1357,8.93,1.58,-2.11,1.76,3.47,0.52,4
1381,9.05,1.56,-2.24,0.41,-0.49,0.4,4
1406,8.96,1.62,-2.1,-0.93,-5.68,0.34,4
1430,8.84,1.65,-2,-2.76,-2.14,-0.15,4
1455,8.76,1.69,-1.83,-4.28,1.95,-0.64,4
1479,8.88,1.73,-1.6,-4.4,3.04,-1.31,4
1504,8.86,1.75,-1.46,-3.31,0.24,-1.37,4
1530,8.76,1.69,-1.49,-1.35,-2.08,-1.31,4
1554,8.72,1.78,-1.51,0.23,0.12,-1.31,4
1579,8.69,1.77,-1.54,1.82,2.56,-1.18,4
1603,8.75,1.67,-1.5,3.71,-1.47,-0.09,4
1628,8.49,1.69,-1.6,5.05,-3.24,1.01,4
1652,8.65,1.65,-1.69,5.96,-0.07,2.17,4
1677,8.72,1.59,-1.93,5.78,-1.77,2.17,4
1702,8.76,1.55,-2.1,5.29,-0.25,1.99,4
1726,8.8,1.6,-2.07,4.44,-0.13,2.29,4
1751,8.81,1.58,-2.19,2.85,-1.83,2.23,4
1775,8.74,1.53,-2.01,1.15,2.31,1.44,4
1800,8.8,1.51,-2.04,0.29,3.53,1.13,4
1824,8.94,1.5,-2.15,-0.32,-0.37,2.35,4
1849,8.88,1.52,-2.09,-1.78,-3.05,3.27,4
1874,8.77,1.54,-2.06,-3.91,-0.31,2.72,4
1898,8.87,1.65,-1.85,-5.81,5.61,1.25,4
1923,9.21,1.63,-1.46,-4.59,8.47,-0.15,4
1947,9.23,1.68,-1.37,-1.84,1.22,-1.31,4
1972,8.87,1.56,-1.51,0.05,-3.66,-2.47,4
1997,8.84,1.65,-1.47,2.37,-0.13,-2.59,4
2021,8.82,1.77,-1.7,3.52,-1.96,-2.16,4
2046,8.77,1.45,-2.15,1.57,-6.1,-1.79,4
2071,8.68,1.34,-2.2,-2.63,-4.88,-2.04,4
2096,8.62,0.76,-1.83,-4.65,3.35,-2.04,4
2120,8.68,1.63,-2.19,-5.74,-6.53,-2.34,4
2145,8.63,1.74,-1.9,-7.7,12.19,-5.45,4
2170,9.22,1.59,-1.94,-8.43,21.95,-7.22,4
2194,8.78,1.79,-1.94,-8.67,-2.44,-6.31,4
2219,8.95,1.55,-1.6,-7.82,-1.04,-4.54,4
2243,10.02,1.79,-1.41,-5.5,6.58,-4.78,4
2268,8.15,2.12,-2.03,0.29,-92.44,-2.04,4
2292,8.84,2.23,-1.89,-4.65,-41.89,-3.07,4
2317,8.17,2.03,-2.03,-4.46,13.72,-4.23,4
2342,8.72,2.21,-1.81,-4.83,0.48,-4.42,4
2366,8.72,2.1,-1.77,-1.11,-5.49,-3.38,4
2392,8.59,2.14,-1.76,0.96,-3.48,-0.94,4
2416,8.69,2.13,-1.87,2.73,-1.77,-0.82,4
2441,8.6,2.15,-2.13,4.07,-0.31,-0.88,4
2466,8.7,1.99,-2.31,4.93,4.39,0.4,4
2490,8.85,1.92,-2.9,2.67,-8.72,0.16,4
2515,9.04,1.78,-3.28,-3,-13.72,0.34,4
2539,8.59,1.85,-3.1,-9.83,-17.44,1.62,4
2564,8.56,1.91,-2.99,-14.59,-22.87,0.95,4
2588,8.72,1.99,-2.71,-17.33,15.3,-1.92,4
2613,8.73,1.82,-2.33,-18.18,33.78,-5.15,4
2638,8.56,2,-2.21,-15.87,23.9,-5.39,4
2662,8.72,1.96,-1.91,-12.27,15.54,-1.61,4
2688,8.56,2.28,-1.59,-8.98,10.06,-0.33,4
2712,8.77,2.18,-1.52,-3.12,8.17,-0.64,4
2737,8.4,2.08,-1.57,0.78,-9.94,0.71,4
2761,8.55,2.26,-1.53,0.66,3.78,1.25,4
2786,8.84,2.27,-1.81,1.76,4.02,1.8,4
2811,8.75,2.21,-1.75,2.43,-1.35,2.29,4
2835,9.05,2.02,-1.7,2,1.89,1.99,4
2860,8.84,2.09,-1.89,1.33,4.45,0.4,4
2884,9.12,2.01,-1.83,0.05,15.3,-1.49,4
2909,8.75,2.13,-1.88,-1.41,-0.68,-2.22,4
2933,9.09,2.03,-1.86,-3.55,-0.37,-4.84,4
2958,9.21,2.08,-1.95,-4.77,12.68,-8.5,4
2983,8.89,1.95,-1.85,-4.46,1.34,-11.37,4
3007,8.7,2.12,-1.7,-3.73,-0.13,-10.51,4
3032,8.35,2.13,-1.62,-2.09,-1.53,-9.48,4
3056,8.47,2.34,-1.66,-0.87,2.13,-6.49,4
3082,8.49,2.14,-1.82,-0.93,-0.92,-4.66,4
3107,8.65,2.21,-2.16,-1.9,-2.81,-3.99,4
3131,8.39,2.2,-2.39,-4.16,-27.93,-3.56,4
3156,8.36,2.19,-2.15,-9.16,-13.42,-4.9,4
