t_ms,ax,ay,az,gx,gy,gz,label
5,6.76,0.64,8.21,-14.71,0.3,-3.26,2
29,6.56,0.73,8.18,-6.96,-6.71,-3.81,2
54,5.9,0.72,7.5,-1.35,-6.04,-3.5,2
78,5.65,0.68,6.83,3.16,-1.59,-0.33,2
102,5.48,0.63,6.34,3.77,-1.96,4.61,2
127,5.62,0.51,5.98,4.56,-4.46,11.56,2
152,6.05,0.72,5.65,4.99,-10.37,17.47,2
177,6.42,0.81,5.58,5.54,-12.44,16.56,2
201,6.23,0.83,5.49,4.19,5.18,12.6,2
226,6.53,1,5.68,3.89,9.14,14.67,2
251,6.8,1.07,5.78,3.28,1.52,20.16,2
275,7.53,0.86,6.26,0.48,0.91,25.71,2
300,8.83,0.72,6.75,-2.15,-3.66,29.24,2
324,9.57,0.81,7.29,-5.2,-9.88,24.61,2
349,10.02,0.88,7.58,-2.94,-11.1,12.35,2
373,9.37,1.12,7.45,0.05,-11.04,-3.87,2
398,8.74,1.11,7.14,4.07,5.18,-18.93,2
423,7.86,0.86,6.75,8.04,8.35,-28.01,2
447,6.81,0.49,6.75,11.63,8.9,-29.42,2
472,6.11,0.39,6.46,15.29,5.85,-24.17,2
496,5.75,0.5,5.85,16.39,4.69,-18.56,2
521,5.5,0.6,5.51,14.01,13.11,-13.93,2
547,5.41,0.46,5.33,10.05,16.28,-6.86,2
571,6.04,0.4,5.32,3.83,14.69,-0.27,2
596,6.4,0.52,5.28,-4.71,4.32,3.08,2
620,6.75,0.72,5.78,-13.06,8.78,2.05,2
645,6.86,0.9,6.34,-16.72,1.28,-1.18,2
669,6.33,0.77,7.08,-15.87,1.76,-1.98,2
694,6.15,0.62,7.56,-8.43,10.61,1.5,2
719,6.25,0.63,7.59,1.33,12.37,6.13,2
743,6.52,0.73,7.27,10.6,6.76,12.72,2
768,6.62,0.84,6.59,15.54,3.04,15.4,2
792,6.73,0.83,6.1,14.56,10,14.42,2
817,7.2,0.82,6.1,11.09,8.47,12.96,2
841,7.58,1.03,6.04,6.15,-4.52,8.27,2
866,7.07,0.94,6.21,-1.17,-0.43,1.07,2
891,6.57,0.82,6.68,-9.1,19.02,-1.18,2
915,6.94,0.61,7.63,-9.52,16.89,0.71,2
940,6.72,0.35,8.1,-4.16,6.03,1.99,2
964,6.6,0.33,8.28,1.39,13.96,3.33,2
989,6.77,0.27,8.23,7.3,14.26,4.61,2
1013,6.66,0.46,8.09,12.91,7.19,4.43,2
1038,6.32,0.78,7.51,18.46,8.41,2.53,2
1063,6.22,0.87,7.04,19.99,16.34,3.14,2
1088,6.41,0.79,6.59,18.4,9.45,6.13,2
1113,6.57,0.54,6.44,13.52,2.74,8.69,2
1137,6.9,0.7,6.53,9.26,0.42,8.57,2
1162,6.91,0.84,6.69,6.27,2.25,3.94,2
1187,6.73,1.11,6.61,5.23,5.79,-1.25,2
1211,6.46,1.13,6.55,4.68,3.78,-2.53,2
1236,6.49,1.16,6.35,3.04,3.11,-1.12,2
1260,6.74,0.96,6.37,-0.07,0.73,-0.33,2
1285,6.92,1.13,6.4,-2.82,-2.57,-1.12,2
1309,6.98,1.22,6.49,-7.94,-5.19,-4.05,2
1334,6.83,1.19,6.84,-10.62,-5.86,-8.32,2
1359,6.58,1.14,7.17,-9.22,-5.25,-12.04,2
1383,6.29,1.03,7.31,-5.74,-4.7,-14.05,2
1408,5.94,0.88,7.35,-1.11,-7.32,-13.62,2
1432,5.59,0.74,7.2,1.51,-5.92,-11.43,2
1458,5.48,0.8,6.95,2.18,-4.58,-9.42,2
1482,5.11,0.64,7,3.04,-4.15,-6.73,2
1507,4.92,0.62,6.83,3.89,-1.47,-1.37,2
1532,4.93,0.5,6.66,1.27,-0.19,4.91,2
1556,5.3,0.61,6.9,-1.84,-7.32,11.01,2
1581,5.41,0.54,7.12,-3.85,-10.92,16.44,2
1605,6.03,0.63,7.41,-4.1,-8.42,20.03,2
1630,6.74,0.62,7.86,-4.28,-11.04,20.22,2
1655,7.15,0.82,8.06,-2.09,-10.07,17.6,2
1679,7.4,0.97,7.91,2.98,-10.43,13.88,2
1704,7.43,0.94,7.75,7.18,-9.82,9.49,2
1728,7.16,0.81,7.36,9.07,-6.35,6.62,2
1753,7.1,0.75,7.09,9.32,-2.75,4.85,2
1777,6.89,0.87,6.8,8.4,-0.55,3.08,2
1803,6.76,0.73,6.67,6.82,5.18,1.86,2
1828,6.52,0.66,6.34,4.99,4.45,1.13,2
1852,6.42,0.74,6.24,0.72,10.3,-0.03,2
1877,6.14,0.72,5.97,-3.98,8.96,-1.55,2
1901,6.37,0.54,6.13,-7.7,12.98,-1.61,2
1926,6.43,0.61,6.34,-7.51,1.82,0.1,2
1950,6.17,0.46,6.49,-7.82,-1.89,2.47,2
1975,6.79,0.33,6.64,-10.07,1.7,5.22,2
2000,7.24,0.55,7.04,-10.68,-3.05,6.25,2
2024,7.44,0.79,7.23,-8.79,-6.83,3.82,2
2049,7.65,0.58,7.54,-6.48,-0.98,-0.94,2
2073,7.95,0.71,7.81,-3.18,3.65,-5.21,2
2098,7.74,0.79,7.68,1.09,-0.31,-11.98,2
2122,7.05,0.95,7.51,4.87,3.29,-18.62,2
2147,6.26,0.96,6.99,6.39,9.87,-23.07,2
2172,5.28,0.89,6.42,6.21,12.92,-21.79,2
2197,4.19,0.79,5.85,3.65,11.89,-14.11,2
2222,3.61,0.56,5.37,0.9,7.5,-1.92,2
2246,3.2,0.41,4.9,-4.71,6.95,11.56,2
2271,3.31,0.56,4.52,-11.84,7.86,22.47,2
2296,3.06,0.44,4.34,-17.45,2.13,31.32,2
2320,2.63,-0.07,4.44,-25.38,4.32,43.45,2
2345,4.03,-0.83,5.49,-33.85,16.09,59.18,2
2369,6.32,-1.25,6.89,-35.5,-8.91,75.83,2
2394,8.45,-1.07,7.56,-34.34,-36.04,85.7,2
2419,11.7,0.04,9.01,-40.44,-18.05,76.31,2
2444,16.06,0.86,11.4,-34.89,-17.99,53.39,2
2469,18.6,0.98,14.04,-18.37,-26.96,23.21,2
2493,18.6,1.33,16.47,7.98,21.95,-28.5,2
2519,18.6,1.27,17.88,39.01,31.76,-93.01,2
2543,18.6,0.04,17.73,67.91,-17.44,-160.51,2
2568,18.6,-1.72,16.81,94.86,1.7,-213.8,2
2594,15.64,-3.14,15.86,124.19,13.11,-247.1,2
2618,11.21,-4.55,14.02,159.62,12.56,-255.82,2
2643,7.4,-6.13,10.06,185.84,-26.28,-241.3,2
2668,3.79,-6.64,4.94,190.05,-70.25,-216.91,2
2693,0.03,-6.94,-0.1,168.95,-82.2,-194.96,2
2717,0.16,-6.88,-4.09,143.58,-111.28,-170.88,2
2743,-4.5,-5.88,-7.94,91.82,-148.05,-147.22,2
2768,-9.48,-4.97,-10.33,37,-149.03,-113.32,2
2792,-12.35,-3.63,-11.23,-16.9,-105.13,-55.88,2
2818,-11.5,-4.15,-11.56,-75.74,-86.22,11.19,2
2842,-9.19,-4.19,-10.02,-136.78,-113.91,71.5,2
2867,-7.67,-4.93,-6.92,-192.02,-127.44,124.18,2
2893,-5.82,-5.76,-2.08,-220.19,-132.44,171.68,2
2917,-4.1,-6.85,1.86,-222.02,-142.32,222.17,2
2942,-1.83,-7.63,4.66,-212.21,-122.63,270.28,2
2967,2.4,-8.72,7.14,-191.9,-94.15,309,2
2992,9.67,-9.82,9.99,-167.45,-51.47,330.21,2
3016,17.98,-10.32,12.74,-135.38,-55.25,330.7,2
3042,18.6,-9.56,14.22,-95.99,-64.15,303.08,2
3067,18.6,-5.91,13.59,-62.09,-8.17,225.03,2
3091,18.6,-4.06,14.23,-40.07,9.02,118.51,2
3117,18.6,-3.7,14.2,-12.09,-2.38,16.38,2
3141,18.6,-3.09,13.44,10.72,39.57,-82.16,2
3166,18.6,-3.16,12.81,39.5,49.93,-177.71,2
3192,18.6,-5.42,12.13,76.02,68.17,-249.84,2
3216,18.6,-7.29,9.83,112,78.59,-287.58,2
3241,17.27,-8.41,6.78,133.04,53.23,-302.95,2
3266,12.29,-9.49,3.5,134.5,2.68,-302.34,2
3291,7.64,-10.04,1.18,122.79,-29.64,-287.04,2
3315,3,-8.94,-1.53,102.85,-43.85,-264.05,2
3341,-1.29,-6.97,-3.93,76.45,-61.35,-231.49,2
3366,-5.38,-5.08,-5.55,42.55,-59.88,-188.99,2
3390,-7.12,-3.53,-6.23,10.17,-53.48,-139.23,2
3415,-8.55,-1.94,-6.63,-23.67,-69.76,-87.04,2
3440,-9.01,-1.39,-6.1,-56.48,-84.94,-32.16,2
3465,-8.17,-1.41,-4.61,-80.8,-80,20.1,2
3490,-6.52,-1.28,-3.72,-103.18,-87.32,63.51,2
3514,-4.61,-1.53,-2.5,-126.29,-95.74,97.41,2
3540,-2.94,-3.28,-0.23,-142.08,-92.32,129.55,2
3564,-0.34,-4.53,1.56,-145.68,-83.91,163.75,2
3589,3.49,-5.32,2.93,-145.25,-94.94,193.08,2
3614,6.02,-5.73,4.14,-150.19,-114.27,217.78,2
3639,10.29,-5.37,7.42,-144.77,-78.11,226.98,2
3664,15.77,-3.91,9.85,-112.15,-70.19,215.28,2
3689,18.09,-3,9.79,-85.56,-97.44,189.61,2
3714,18.6,-1.67,9.14,-57.33,-79.88,158.57,2
3738,18.6,-1.27,8.32,-33.61,-48.91,116.74,2
3764,18.6,-2.34,8.85,-16.17,-50.49,80.83,2
3789,17.95,-2.16,8.52,0.84,-54.21,47.35,2
3813,15.68,-1.38,8.49,22.61,-20.25,15.58,2
3838,13.9,-1.78,8.51,51.15,-10.55,-2.04,2
3862,11.9,-2.14,7.14,76.69,-24.46,-8.44,2
3888,10.36,-2.11,5.84,89.07,-30.55,-9.48,2
3912,9.49,-2.05,5.85,96.02,-30.92,-8.62,2
3937,8.42,-2.3,6.98,111.69,-21.47,-11.18,2
3962,7.1,-3.11,7.17,144.93,-20.43,-11.12,2
3986,6.07,-3.48,5.78,176.33,-5.25,-6.06,2
4012,6.37,-3.85,4.57,194.19,11.28,1.74,2
4036,5.79,-4.85,3.81,209.44,-10.67,12.23,2
4061,4.87,-5.01,2.66,220.53,-8.54,22.23,2
4085,5.09,-5.03,1.56,224.8,26.95,29.12,2
4110,6.35,-5.54,0.91,221.94,44.14,40.77,2
4136,8.26,-6.7,1.06,221.27,56.7,51.5,2
4160,10.45,-8.01,-0.46,223.83,34.08,58.51,2
4185,11.56,-7.7,-2.87,206.75,23.9,54.06,2
4210,12.55,-6.64,-3.85,173.16,47.98,35.16,2
4235,12.85,-6.62,-3.49,146.27,37.68,17.47,2
4260,11.66,-6.35,-3.96,122.73,30.85,18.69,2
4284,12.17,-4.82,-4.52,93.1,20.54,21.44,2
4310,13.71,-3.07,-3.9,58.83,14.87,12.9,2
4334,14.18,-2.09,-2.42,31.45,-2.63,-0.03,2
4359,14.62,-1.55,-0.76,15.54,-5.49,-6.55,2
4383,16.33,-0.16,0.44,4.5,5.97,-19.11,2
4408,18.6,0.77,2.45,-2.88,36.52,-46.37,2
4434,18.6,0.16,5.06,-1.11,-13.24,-76.55,2
4458,18.6,-0.21,6.71,6.82,14.63,-118.68,2
4483,18.6,-0.81,7.97,34.32,50.12,-181,2
4507,18.6,-2.99,7.8,57.73,0.67,-235.63,2
4532,16.99,-4.16,6.79,71.45,18.04,-268.19,2
4558,13.76,-4.67,6.55,89.74,24.75,-294.72,2
4582,8.77,-5.76,5.54,119.01,10.36,-302.89,2
4607,3.82,-6.26,2.33,137.85,-13.91,-282.83,2
4632,-0.78,-5.72,-2.53,128.77,-55.98,-241.18,2
4657,-5.05,-4.42,-6.7,89.74,-98.3,-182.65,2
