t_ms,ax,ay,az,gx,gy,gz,label
5,8.7,-1.47,-0.23,14.56,-11.53,21.13,3
29,9.33,-1,-0.66,13.58,-4.76,21.25,3
54,8.9,-0.86,-1.09,9.5,-18.97,16.07,3
79,8.86,-0.87,-1.27,5.05,-6.53,11.19,3
103,9.39,-0.73,-1.01,3.1,12.19,9.97,3
128,10.19,-1.01,-0.94,4.74,2.25,10.77,3
152,10.79,-1.05,-0.7,10.35,-8.97,12.05,3
177,10.97,-1.1,-0.78,16.57,-16.35,8.21,3
201,10.56,-1.09,-1.04,17.49,-20.86,0.03,3
226,10.56,-1.19,-1.29,14.01,-4.27,-9.48,3
251,10.98,-1.07,-1.62,10.05,3.84,-16.61,3
276,9.36,-1.55,-1.32,0.78,4.02,-22.89,3
301,9.01,-1.83,-1.21,-3,8.35,-23.01,3
325,8.26,-1.87,-1.31,-9.16,5.06,-20.57,3
350,8.48,-1.75,-1.06,-12.02,16.82,-13.81,3
375,8.59,-1.62,-0.86,-10.68,14.51,-8.44,3
399,8.27,-1.43,-0.96,-11.84,-7.87,-5.7,3
424,8.19,-1.53,-0.76,-14.04,5.48,-3.75,3
448,8.67,-1.51,-0.36,-12.57,27.92,-2.89,3
473,9.38,-1.22,-0.36,-6.29,28.17,-4.48,3
497,9.32,-1.05,-0.46,-2.63,13.84,-5.27,3
522,9.16,-1.03,-0.48,-2.09,3.11,-3.68,3
547,9.19,-1.28,-0.35,0.35,0.85,-1.98,3
571,9.02,-1.1,-0.36,1.63,-6.04,-1.86,3
596,9.05,-1.12,-0.43,2.24,-0.55,-2.71,3
620,8.92,-0.97,-0.27,2.24,1.64,-3.44,3
645,9.06,-0.93,-0.1,3.34,-2.26,-6,3
669,9.1,-0.95,-0.12,6.51,4.32,-9.17,3
694,8.52,-0.81,-0.35,7.79,-0.07,-10.15,3
719,8.34,-0.74,-0.46,6.45,0.06,-6.67,3
743,8.56,-0.63,-0.42,4.62,9.87,-2.04,3
768,8.69,-0.7,-0.22,4.26,1.46,2.47,3
792,8.76,-0.73,-0.35,4.56,-7.44,6.62,3
817,8.83,-0.58,-0.41,3.22,-1.41,8.94,3
841,9.27,-0.71,-0.31,2.67,9.51,9.43,3
866,9.45,-0.75,-0.42,2.06,7.13,8.82,3
891,9.77,-0.65,-0.4,0.6,2.68,8.14,3
915,9.88,-0.72,-0.33,-0.56,-0.19,5.58,3
940,9.79,-0.79,-0.29,-0.68,0.42,1.74,3
964,9.63,-0.69,-0.22,0.05,5.48,-0.27,3
989,9.54,-0.61,-0.18,0.54,1.58,0.03,3
1013,9.42,-0.9,-0.02,1.69,-4.46,-0.15,3
1038,9.38,-0.83,-0.05,3.28,-0.8,-0.39,3
1063,9.37,-0.71,-0.04,3.65,-5.49,-1.12,3
1087,9.1,-0.72,0.04,3.83,-11.04,-2.95,3
1113,8.96,-0.87,-0.05,4.68,-1.35,-3.62,3
1137,8.93,-0.96,-0.15,5.48,2.74,-1.86,3
1162,9,-0.8,-0.18,4.68,-4.09,0.71,3
1187,9.07,-0.87,-0.35,3.28,-2.99,1.56,3
1211,9.27,-0.92,-0.44,3.1,-0.8,1.19,3
1236,9.46,-1.01,-0.51,2.85,-3.78,-0.57,3
1260,9.41,-1.05,-0.74,1.45,0.3,-3.01,3
1285,9.44,-1.02,-0.93,-0.99,5.73,-5.76,3
1309,9.37,-0.96,-0.67,-2.94,-0.25,-8.01,3
1334,9.19,-1,-0.63,-4.34,-3.05,-10.64,3
1359,8.91,-1.06,-0.53,-5.44,2.74,-12.04,3
1383,8.7,-0.91,-0.64,-6.9,7.37,-11.12,3
1408,8.7,-0.81,-0.33,-7.7,3.04,-8.99,3
1432,8.68,-0.73,-0.36,-7.27,2.92,-5.51,3
1457,8.89,-0.72,-0.25,-6.23,1.82,-1.37,3
1481,8.68,-0.67,-0.14,-5.5,-5.68,0.64,3
1506,8.97,-0.66,-0.13,-5.62,0.42,1.86,3
1531,9.04,-0.71,-0.17,-5.44,3.72,2.47,3
1555,9.27,-0.83,0,-4.04,2.5,1.99,3
1580,9.34,-0.86,0.01,-0.81,0.54,1.19,3
1604,9.11,-0.82,-0.14,0.41,-5.37,1.25,3
1630,8.97,-0.67,-0.4,-0.68,-1.41,2.53,3
1655,8.98,-0.78,-0.28,-1.84,0.54,3.88,3
1679,9.04,-0.67,-0.34,-2.82,-4.94,3.94,3
1704,9.14,-0.61,-0.3,-4.1,-1.35,3.94,3
1728,9.15,-0.73,-0.13,-3.37,3.41,3.14,3
1753,9.41,-0.68,-0.05,-1.54,1.76,2.29,3
1777,9.07,-0.66,-0.2,-1.05,-2.93,1.19,3
1802,9.18,-0.52,-0.18,-1.84,6.82,1.44,3
1827,8.98,-0.51,0.37,-1.48,16.21,-0.39,3
1851,9.63,-0.33,0.65,2.12,34.63,-3.75,3
1876,9.53,-0.54,0.24,7.91,9.32,-1.67,3
1900,8.91,-0.58,-0.46,4.8,-25.74,1.07,3
1925,9.07,-0.74,-0.32,2.55,3.17,3.08,3
1949,9.19,-0.71,-0.27,-0.44,4.57,2.23,3
1974,9.44,-0.85,-0.22,-0.38,-2.38,1.86,3
1999,9.17,-0.86,-0.19,-0.32,-7.57,0.34,3
2023,8.88,-0.71,-0.14,-1.48,-2.26,-0.09,3
2048,8.87,-0.73,0.13,-1.78,6.89,-0.51,3
2072,9.25,-0.63,0.12,0.41,9.39,1.56,3
2097,9.12,-0.53,0.01,2.61,-9.64,3.39,3
2121,9.19,-0.7,0.01,3.65,-15.98,3.94,3
2147,9.15,-0.64,-0.2,4.19,1.4,2.84,3
2172,9.04,-0.69,0.01,4.93,6.82,2.05,3
2196,9.06,-0.68,-0.08,4.93,9.51,1.68,3
2221,9.2,-0.62,-0.1,5.66,9.2,3.51,3
2245,8.91,-0.91,-0.22,5.96,-4.82,4.97,3
2270,8.69,-0.86,-0.4,4.74,2.68,6.99,3
2295,8.4,-0.85,-0.37,2.37,4.93,10.1,3
2319,8.3,-1.02,-0.08,-0.13,1.22,13.27,3
2344,8.08,-1.15,0.06,-0.26,12.74,16.68,3
2368,7.8,-1.26,0.49,2.49,8.53,22.53,3
2393,7.63,-1.27,0.71,7.49,-1.83,28.75,3
2417,7.31,-1.42,0.83,12.12,0.54,36.31,3
2442,7.12,-1.35,0.94,15.6,-1.53,46.25,3
2467,7.36,-1.52,1.47,19.62,-5.07,53.69,3
2492,8.3,-2.03,2.16,30.6,6.4,58.02,3
2517,8.62,-2.33,2.25,46.21,-6.41,62.35,3
2541,9.16,-2.32,2.22,60.47,-32.99,67.47,3
2566,11.85,-2.48,2.64,76.02,-10.55,62.9,3
2590,14.6,-2.77,2.27,90.9,9.81,43.88,3
2616,18.48,-3.62,1.37,97.67,41.21,19.18,3
2641,18.6,-3.55,0.49,104.74,47.37,-23.14,3
2665,18.6,-3.79,-1.42,92.06,18.53,-82.04,3
2690,18.6,-3.67,-2.32,70.9,47.5,-148.93,3
2715,18.6,-4.48,-1.94,51.51,50.42,-216.73,3
2740,18.6,-5.23,-2.01,34.13,67.19,-284.6,3
2765,17.13,-5.97,-1.74,24.68,119.45,-337.28,3
2790,13.56,-7.12,-1.25,23.83,139.81,-368.99,3
2815,7.74,-6.51,-3.5,22.55,129.93,-369.66,3
2839,1.77,-6.01,-5.53,10.66,99.81,-335.08,3
2864,-2.95,-5.28,-8.37,-25.44,57.37,-272.34,3
2889,-4.92,-4.76,-10.05,-80.99,110.42,-193.93,3
2914,-5.13,-5.13,-9.9,-137.88,78.96,-111.61,3
2939,-5.65,-6.59,-8.49,-199.03,-79.33,-27.34,3
2964,-4.66,-8.78,-6.66,-254.89,-135.31,59.18,3
2989,-2.14,-10.96,-5.45,-310.74,-128.72,129.79,3
3013,1.71,-13.83,-4.31,-362.94,-170.06,179,3
3039,6.61,-16.8,-3.24,-428.12,-165.43,204.85,3
3064,13.46,-19.65,1.2,-483.85,-149.64,200.95,3
3089,17.86,-19.65,5.41,-510.56,-187.26,166.25,3
3114,18.6,-19.65,7.86,-522.39,-102.69,113.02,3
3139,18.6,-19.65,10.22,-511.23,6.82,34.06,3
3164,18.6,-19.65,10.34,-471.96,14.93,-31.43,3
3188,18.6,-18.75,10.65,-433.91,-9.58,-96.06,3
3214,18.6,-17.34,10.33,-395.37,-61.16,-145.76,3
3239,18.6,-13.71,11.24,-347.14,-65.55,-169.96,3
3264,17.76,-11.59,12.15,-280.99,-36.53,-195.02,3
3289,16.88,-10.43,12.89,-214.95,-36.71,-229.29,3
3313,14.16,-7.35,14.87,-132.02,-79.7,-241.73,3
3339,11.94,-5.16,13.52,-43.67,-80.74,-254.54,3
3364,11.5,-5.52,11.14,32.91,-63.78,-268.38,3
3389,10.13,-6.03,9.03,94.86,-42.44,-281.91,3
3414,9.59,-7.16,8.17,148.89,-33.24,-294.9,3
3438,7.65,-9.28,7.79,210.78,-54.94,-301.97,3
3463,5.17,-9.87,6.05,253.16,-63.48,-300.63,3
3488,4.22,-10.86,5.85,282.79,5.06,-289.78,3
3513,2.2,-11.56,4.64,319.19,61.28,-256.06,3
3538,0.62,-10.98,4.37,354.31,19.32,-207.83,3
3563,0.84,-11.55,4.24,382.85,49.93,-169.05,3
3588,1.09,-13.1,2.33,410.59,121.52,-122.59,3
3612,0.55,-12.01,1.04,421.14,112.31,-61.31,3
3638,2.91,-13.57,0.81,428.28,100.85,-22.04,3
3663,6.27,-15.38,0.99,438.15,175.3,13.27,3
3687,8.67,-15.79,-0.21,450.71,143.23,37.17,3
3713,10.29,-17.66,-1.72,455.23,61.46,43.57,3
3737,13.45,-19.65,-3.3,454.43,52.74,37.11,3
3763,15.5,-19.65,-6.69,449.92,9.39,33.75,3
3787,16.99,-19.65,-10.65,412.61,-110.25,-8.26,3
3812,18.6,-19.65,-15.7,338.09,-52.2,-82.1,3
3838,18.6,-19.65,-18.89,227.91,3.53,-151.55,3
3862,18.26,-19.65,-19.22,90.66,-98.3,-232.83,3
3887,15.67,-19.08,-17.87,-38,-72.44,-306.79,3
3912,13.9,-19.18,-14.06,-123.06,41.58,-365.75,3
3937,11.7,-18.36,-11.74,-166.72,71.95,-406.18,3
3963,7.37,-16.63,-10.15,-200.56,59.81,-417.89,3
3987,4.28,-14.19,-9.4,-223.18,109.51,-397.58,3
4013,0.92,-11.38,-9.2,-242.02,115.48,-358.19,3
4037,0.21,-9.21,-8.76,-270.74,139.99,-308.5,3
4062,-1.38,-8.46,-6.5,-292.63,136.4,-262.52,3
4088,-1.9,-7.83,-4.65,-306.9,117.37,-210.21,3
4112,-2.39,-8.06,-3.7,-327.45,100.85,-153.93,3
4137,-1.36,-8.92,-2.51,-350.62,40.42,-94.05,3
4162,0.05,-10.37,-1,-374.4,-46.16,-30.21,3
4187,1.93,-12.51,0.18,-397.02,-136.47,25.64,3
4211,3.61,-14.45,-0.11,-429.52,-142.75,66.07,3
4237,5.22,-18.93,0.21,-488.97,-103.42,76.01,3
4262,9.22,-19.65,3.01,-549.09,-21.47,50.34,3
4286,12.11,-19.65,6.92,-570.49,-15.55,0.22,3
4312,14.34,-19.65,11.85,-555.74,-150.49,-25.21,3
4336,16.35,-19.65,14.83,-507.69,-199.39,-39.96,3
4361,18.57,-19.65,17.24,-423,-83.97,-69.35,3
4387,18.6,-15.48,14.37,-316.11,-22.93,-109.05,3
4411,18.6,-12.65,11.76,-235.56,-31.77,-166.49,3
4437,18.6,-10.49,11.68,-169.95,-150.12,-218.56,3
4461,17.23,-10.71,11.19,-112.39,-158.84,-267.22,3
4487,13.83,-10.39,9.68,-54.1,-127.14,-296.36,3
4511,10.08,-8.37,7.69,-7.15,-163.3,-301.3,3
4536,8.16,-6.99,6.58,24.19,-123.91,-298.74,3
4562,7.2,-5.76,7.1,66.63,-37.08,-293.44,3
4586,5.17,-5.42,7.68,124.38,-22.08,-275.63,3
4611,3,-4.91,5.93,184.68,-116.28,-239.6,3
4636,2.51,-3.91,4.13,216.81,-183.36,-207.22,3
4661,1.13,-3.94,4.07,247.24,-82.93,-186.67,3
4686,1.38,-6.21,3.78,281.94,-39.94,-162.65,3
4711,1.32,-6.2,2.16,316.02,-58.42,-133.2,3
4736,2.4,-8.6,1.61,344.07,-66.41,-113.62,3
4760,2.74,-8.6,0.34,367.48,-22.63,-99.6,3
4785,6.24,-10.25,0.08,387.73,36.89,-95.39,3
4810,7.53,-14.07,-0.2,412.79,22.43,-97.65,3
4835,7.17,-13.58,-2,430.53,5.12,-90.27,3
4860,9,-16.52,-2.19,438.28,20.24,-95.88,3
4885,12.77,-16.77,-2.93,444.31,122.98,-102.89,3
4910,13.93,-19.65,-3.16,456.93,52.86,-104.6,3
4934,15.35,-19.65,-6.84,445.59,-11.1,-124.42,3
4960,17.6,-19.65,-11.26,405.35,-13.05,-155.09,3
4985,15.47,-19.65,-14.54,328.09,-84.33,-184.23,3
5010,14.9,-19.47,-18.56,209.07,-102.26,-211.12,3
5035,15.02,-17.72,-19.22,72.91,-80.19,-240.88,3
5060,14.6,-17.56,-16.54,-59.83,-68.11,-280.82,3
5085,12.7,-17.64,-12.06,-144.4,-39.58,-323.93,3
5109,9.61,-16.21,-9.58,-198.18,1.52,-356.12,3
5135,6.13,-14.86,-8.41,-227.27,62.07,-369.53,3
5160,3.18,-12.88,-7.65,-243.49,96.88,-359.17,3
5184,0.68,-10.71,-7.32,-253.85,109.81,-328.68,3
5210,-1.17,-8.63,-6.66,-266.35,135.97,-285.69,3
5234,-1.69,-7.55,-6.58,-280.86,160.24,-245.63,3
5260,-0.83,-7.03,-6.1,-304.03,158.96,-210.15,3
5285,-2.34,-7.79,-5.75,-340.31,94.08,-168.62,3
5309,-2.53,-9.14,-4.25,-378.24,55.3,-108.56,3
5335,-1.75,-10.76,-1.78,-400.98,-20.31,-40.03,3
5359,0.54,-12.39,-0.41,-418.18,-154.21,34.67,3
5384,3.41,-14.59,0.32,-438.91,-220,97.41,3
5410,8.27,-16.38,2.01,-470.86,-160.31,109.97,3
5434,14.12,-19.32,5.43,-494.95,-64.64,57.11,3
5459,18.52,-19.65,9.06,-492.81,-7.08,-21.49,3
5484,18.6,-19.24,12.52,-442.51,-82.08,-78.99,3
5509,18.17,-17.35,11.9,-398.79,-203.66,-115.09,3
5534,18.43,-18.43,11.22,-380.74,-233.17,-132.22,3
5559,17.39,-18.27,11.28,-354.58,-139.33,-141.37,3
5585,18.6,-15.35,12.24,-317.81,-67.38,-159.54,3
5609,18.6,-13.68,13.84,-261.78,-102.2,-187.71,3
5635,18.29,-10.52,15.14,-201.41,-127.63,-212.89,3
5659,17.88,-7.94,15.68,-127.63,-94.33,-243.87,3
5684,16.75,-6.75,14.89,-45.68,-52.14,-273.32,3
5710,14.04,-7.52,13.35,31.39,-67.08,-298.99,3
5734,11.8,-4.65,11.2,89.8,-77.02,-311.3,3
5760,8.85,-6.79,10.4,144.62,-91.1,-315.45,3
5784,6.42,-6.65,9.13,195.11,-52.75,-311.61,3
5809,4.15,-9.2,7.68,245.47,-58.17,-287.77,3
5833,1.33,-7.43,5.44,282,-132.26,-255.51,3
5859,-0.31,-5.85,4.59,294.44,-134.45,-234.41,3
5884,1.24,-8.21,4.71,324.07,34.2,-213.87,3
5908,1.68,-8.46,3.73,366.51,110.48,-175.09,3
5934,3.16,-10.41,3.16,399.31,31.34,-141.79,3
5958,3.08,-11.49,2.49,423.09,22.86,-128.44,3
5984,5.38,-14.44,2.43,448.52,118.59,-118.81,3
6009,9.07,-17.47,2.14,480.23,210.18,-100.39,3
6033,11.22,-18.11,0.3,514.62,132.74,-75.15,3
6059,12.84,-19.65,-0.83,528.88,-9.76,-84.72,3
6083,15.38,-19.65,-5.05,524.19,19.75,-123.68,3
6108,16.62,-19.65,-11.12,498.28,89.81,-134.96,3
6133,15.02,-19.65,-16.84,418.03,-131.22,-159.72,3
6158,13.16,-19.65,-19.22,268.64,-149.45,-202.46,3
6184,12.81,-19.65,-19.22,111.33,-68.05,-222.4,3
6208,12.63,-19.26,-17.68,-13.67,-105.86,-246.61,3
6234,12.22,-18.88,-14.7,-105.19,-51.65,-278.99,3
6258,11.65,-18.35,-12.07,-159.46,32.13,-317.1,3
6284,9.46,-17.21,-10.61,-193.61,33.11,-343.93,3
6309,7.87,-16.08,-10.16,-221.29,34.2,-344.96,3
6333,4.52,-14.11,-10.82,-247.33,38.71,-328.13,3
6359,2.11,-12.06,-10.58,-284.89,28.59,-295.57,3
6383,1.06,-10.11,-9.14,-322.2,44.32,-252.65,3
6409,-1.41,-9.46,-7.67,-360.68,27.37,-205.76,3
6434,-1.81,-9.4,-5.1,-386.59,51.28,-157.16,3
6458,-1.79,-9.33,-3.18,-405.62,52.5,-110.88,3
6484,-0.88,-9.71,-1.15,-420.31,-3.36,-64.78,3
6508,0.99,-9.9,1.36,-425.13,-57.69,-18.87,3
6533,3.92,-9.56,4.52,-414.15,-141.47,26.19,3
6557,6.52,-11.18,6.46,-384.28,-174.94,52.47,3
6583,6.81,-11.89,4.84,-371.11,-160.73,65.1,3
6608,8.1,-10.46,3.34,-392.02,-151.71,69.73,3
6632,10.46,-12.67,4.98,-405.25,-188.54,76.13,3
