t_ms,ax,ay,az,gx,gy,gz,label
5,4.05,0.19,-8.55,-0.07,0,-0.03,4
28,4.01,0.18,-8.57,-0.01,0.06,0.1,4
53,4.1,0.22,-8.72,0.05,-0.07,-0.03,4
78,4.02,0.17,-8.71,0.11,0,0.1,4
102,4.05,0.19,-8.58,0.11,0.06,-0.03,4
127,4.04,0.23,-8.59,-0.01,-0.07,0.1,4
151,4.03,0.15,-8.52,0.11,0.06,-0.15,4
176,4,0.21,-8.59,0.11,0,0.03,4
200,4.06,0.23,-8.51,0.05,-0.07,0.1,4
225,4.04,0.2,-8.61,-0.07,0.18,-0.03,4
250,4,0.22,-8.61,-0.01,0.18,0.1,4
274,4,0.13,-8.51,0.11,0.12,0.1,4
299,4.08,0.23,-8.65,-0.07,0.06,0.1,4
323,4,0.19,-8.63,-0.01,0.06,0.1,4
348,3.96,0.26,-8.64,0.23,0.12,0.03,4
372,4.04,0.21,-8.66,-0.01,0,-0.03,4
397,4.03,0.17,-8.51,0.17,0,-0.09,4
422,4.03,0.18,-8.7,-0.01,0.12,0.03,4
446,4.06,0.22,-8.61,-0.13,0.18,-0.09,4
471,4.03,0.15,-8.67,-0.01,0.12,0.03,4
495,3.94,0.18,-8.62,0.11,-0.19,0.1,4
520,4.07,0.18,-8.69,0.05,0,0.1,4
544,4.06,0.19,-8.57,-0.07,0.06,0.03,4
569,4.01,0.18,-8.61,-0.13,-0.13,0.1,4
594,4.04,0.19,-8.6,-0.07,-0.07,-0.09,4
618,4.11,0.23,-8.54,-0.01,0.12,-0.09,4
642,4.06,0.12,-8.57,0.05,-0.13,-0.03,4
666,4.02,0.2,-8.55,-0.07,0.12,0.03,4
691,4.05,0.24,-8.64,0.23,0,-0.09,4
715,4.13,0.19,-8.5,-0.01,-0.07,0.03,4
740,3.98,0.21,-8.61,-0.01,0.12,0.03,4
765,4.05,0.21,-8.57,-0.01,0.12,-0.03,4
789,4.06,0.23,-8.67,-0.01,0.12,-0.21,4
814,4.03,0.16,-8.71,-0.01,0,0.16,4
838,4.06,0.2,-8.59,0.05,0,0.03,4
863,4.03,0.24,-8.59,0.11,-0.07,-0.03,4
888,4.06,0.14,-8.65,0.11,0.24,-0.09,4
912,3.99,0.19,-8.57,0.05,0.12,-0.09,4
937,4.03,0.17,-8.56,-0.01,0.18,0.03,4
961,4.08,0.19,-8.6,0.05,0,-0.09,4
986,4.02,0.22,-8.62,0.05,0.06,0.03,4
1010,4.02,0.19,-8.56,-0.07,-0.13,0.1,4
1035,4.1,0.22,-8.55,0.05,0,-0.03,4
1060,4,0.22,-8.64,0.05,0.18,0.03,4
1084,4.04,0.22,-8.56,-0.2,-0.07,-0.09,4
1109,4.07,0.27,-8.6,-0.07,0.18,0.1,4
1133,4.05,0.21,-8.63,-0.07,-0.07,0.1,4
1158,4.06,0.16,-8.59,-0.13,0,-0.09,4
1182,4.03,0.2,-8.6,-0.01,-0.07,0.03,4
1207,4.07,0.2,-8.61,0.05,-0.07,-0.03,4
1232,4.05,0.19,-8.66,-0.01,-0.07,-0.03,4
1256,4,0.19,-8.61,0.05,0,0.16,4
1281,4.05,0.22,-8.6,-0.01,0.06,0.03,4
1305,4.05,0.24,-8.58,-0.07,0.12,-0.15,4
1330,4.08,0.19,-8.6,0.17,-0.13,-0.03,4
1354,4.07,0.21,-8.61,0.17,0.06,0.1,4
1379,4.04,0.23,-8.6,-0.07,0.12,0.22,4
1404,4.06,0.25,-8.63,-0.13,0.24,0.1,4
1428,4,0.17,-8.64,-0.07,0.06,-0.03,4
1453,4.02,0.27,-8.6,-0.01,0.06,-0.03,4
1477,4.04,0.17,-8.55,-0.01,0.06,-0.03,4
1502,4.02,0.21,-8.59,-0.01,0.12,-0.15,4
1527,3.99,0.25,-8.6,0.05,0.12,0.22,4
1551,4.07,0.21,-8.72,-0.01,0.06,0.1,4
1576,3.99,0.17,-8.71,-0.07,0.18,-0.09,4
1600,4.06,0.18,-8.61,-0.07,0,0.03,4
1625,4.03,0.19,-8.61,0.11,0.12,-0.09,4
1649,4.03,0.15,-8.52,-0.01,-0.13,-0.15,4
1674,4.05,0.14,-8.64,0.05,0.18,0.16,4
1699,4.1,0.24,-8.55,-0.07,0.12,0.03,4
1723,4.06,0.27,-8.62,0.05,0,-0.03,4
1748,4.03,0.22,-8.56,0.11,0,0.16,4
1772,4,0.19,-8.58,0.05,0.18,0.16,4
1797,4.09,0.2,-8.61,-0.01,-0.07,0.16,4
1821,4.02,0.19,-8.58,-0.07,0.06,0.03,4
1846,3.98,0.2,-8.7,0.05,0.06,0.03,4
1871,4.1,0.26,-8.64,-0.07,0.12,0.03,4
1895,4.01,0.19,-8.57,0.05,0.18,0.1,4
1920,3.99,0.18,-8.61,0.05,0,0.03,4
1944,4.05,0.21,-8.58,-0.01,-0.07,0.03,4
1969,4.09,0.17,-8.64,-0.01,-0.07,-0.03,4
1993,3.99,0.23,-8.58,-0.07,0.06,-0.15,4
2018,4.03,0.21,-8.58,0.17,0.18,-0.15,4
2043,4.11,0.17,-8.54,0.11,0,-0.15,4
2067,4.03,0.11,-8.66,-0.07,0.06,-0.03,4
2092,3.99,0.19,-8.55,0.11,0.06,-0.09,4
2116,4.05,0.24,-8.64,0.05,0.12,-0.03,4
2141,4.05,0.18,-8.66,-0.01,-0.07,0.1,4
2165,4.01,0.18,-8.58,0.05,-0.07,0.1,4
2190,4.03,0.2,-8.59,0.05,0.12,0.1,4
2215,4.06,0.15,-8.73,-0.07,0.24,-0.09,4
2239,4.03,0.16,-8.63,-0.01,0.12,0.03,4
2264,4.02,0.19,-8.62,-0.01,0.12,0.1,4
2288,4.08,0.2,-8.63,0.11,0.18,-0.09,4
2313,4.02,0.19,-8.5,-0.07,0.24,0.03,4
2338,3.99,0.18,-8.5,0.05,0,-0.03,4
2362,4.04,0.17,-8.64,-0.07,0.06,-0.03,4
2387,4.05,0.22,-8.63,-0.07,0.12,-0.09,4
2411,4.03,0.18,-8.59,0.23,0.06,-0.03,4
2436,4.04,0.17,-8.57,-0.01,0.18,0.03,4
2460,4.08,0.17,-8.71,0.05,0.06,0.03,4
2485,3.99,0.15,-8.65,-0.01,0.12,-0.03,4
2510,4.01,0.2,-8.61,0.05,0.12,-0.03,4
2534,4.07,0.23,-8.6,-0.01,0.18,0.03,4
2559,4.06,0.2,-8.53,-0.07,0,0.03,4
2583,4.02,0.17,-8.59,0.17,0.18,0.03,4
2608,4.03,0.22,-8.6,-0.01,0.12,-0.03,4
2632,4.08,0.16,-8.65,0.17,0,0.1,4
2657,4.05,0.19,-8.64,0.05,0,0.03,4
2682,3.99,0.15,-8.7,0.11,0.06,0.03,4
2706,4.11,0.19,-8.61,0.11,0.12,0.03,4
2731,4.08,0.22,-8.72,0.17,-0.13,0.03,4
2755,4.01,0.16,-8.62,-0.01,-0.07,0.1,4
2780,4.11,0.21,-8.65,-0.01,-0.07,0.03,4
2804,4.13,0.25,-8.64,-0.01,-0.07,0.03,4
2829,4.01,0.19,-8.68,0.05,0,0.1,4
2854,4.03,0.2,-8.58,0.11,-0.13,0.03,4
2878,4.1,0.19,-8.62,-0.2,0,-0.03,4
2903,4.02,0.15,-8.52,-0.01,0.06,0.16,4
2927,3.97,0.23,-8.65,-0.07,0.06,-0.09,4
2952,4.03,0.2,-8.68,0.05,0.06,0.1,4
2976,4.1,0.26,-8.59,0.11,-0.07,0.1,4
3001,4.04,0.21,-8.63,0.05,0,-0.09,4
3026,3.99,0.2,-8.63,0.17,0,0.1,4
3050,4.08,0.26,-8.56,0.05,0.06,0.1,4
3075,4.11,0.13,-8.68,0.11,-0.07,0.03,4
3099,4.05,0.21,-8.66,-0.07,0.12,0.1,4
3124,3.99,0.26,-8.58,0.11,0.12,-0.03,4
3150,4.01,0.18,-8.6,-0.01,0,0.03,4
3174,4.03,0.21,-8.57,-0.01,-0.61,0.16,4
3199,4.05,0.16,-8.68,0.11,-0.13,-0.03,4
3223,4.07,0.2,-8.55,0.05,0.06,0.1,4
3248,4,0.24,-8.58,-0.01,0.06,-0.09,4
3272,4.05,0.21,-8.66,0.05,0,0.1,4
3297,4.07,0.2,-8.55,0.11,0.18,0.1,4
3322,4.07,0.23,-8.62,0.05,0,0.03,4
3346,3.98,0.2,-8.59,-0.01,0.06,-0.09,4
3371,4.09,0.21,-8.59,-0.07,0.12,-0.15,4
3395,4.07,0.18,-8.63,0.11,0,0.1,4
3420,4.03,0.19,-8.66,0.05,0.12,0.03,4
3444,4.07,0.17,-8.59,-0.01,0.06,0.03,4
3469,4.07,0.17,-8.59,0.11,0.12,0.03,4
3494,4.07,0.26,-8.61,0.17,-0.07,-0.09,4
3518,4.06,0.15,-8.63,-0.07,0.12,-0.03,4
3543,4.11,0.21,-8.71,0.05,0.06,-0.03,4
3567,4.09,0.19,-8.58,0.11,0.06,-0.09,4
3592,4.05,0.18,-8.57,-0.01,-0.07,0.16,4
3616,3.99,0.2,-8.59,0.11,0,-0.03,4
3641,4.07,0.28,-8.61,0.05,0.12,0.03,4
3666,4.09,0.19,-8.62,-0.13,0.12,-0.09,4
3690,3.99,0.18,-8.61,0.11,0.12,-0.09,4
3715,4.07,0.16,-8.63,0.05,0,0.1,4
3739,4.04,0.21,-8.57,0.11,-0.07,-0.09,4
3764,3.95,0.21,-8.7,0.11,0.18,-0.15,4
3789,4.03,0.18,-8.65,-0.01,0.18,-0.15,4
3813,4.09,0.22,-8.58,-0.07,0,0.16,4
3838,4.01,0.24,-8.61,-0.01,0,-0.03,4
3862,4.03,0.17,-8.62,-0.01,0.06,0.1,4
3887,4.07,0.17,-8.63,-0.01,-0.13,0.1,4
3911,4.02,0.18,-8.66,0.11,0,-0.09,4
3936,4.03,0.16,-8.59,0.05,0.12,0.03,4
3961,4.1,0.22,-8.61,-0.07,0,-0.03,4
3985,4.03,0.2,-8.62,-0.07,0.18,-0.03,4
