t_ms,ax,ay,az,gx,gy,gz,label
5,2.29,-1.92,-9.67,-4.28,-7.38,0.77,3
29,2.37,-2,-9.49,-6.41,6.28,0.34,3
53,2.48,-1.98,-9.46,-6.11,8.11,0.52,3
78,2.3,-1.85,-9.24,-5.87,-4.7,2.96,3
102,2.28,-1.66,-9.18,-7.21,2.31,7.6,3
127,2.81,-1.54,-9.14,-8.18,10.73,8.14,3
152,3.22,-1.61,-9.26,-9.4,11.89,2.96,3
177,3,-1.77,-8.98,-8.67,3.65,-2.1,3
201,2.46,-1.56,-8.67,-7.45,-2.32,-3.68,3
226,2.4,-1.35,-8.55,-4.1,3.17,-3.75,3
251,2.4,-1.57,-8.64,1.39,4.32,-3.44,3
275,2.27,-1.6,-8.95,4.56,-4.94,-2.16,3
300,2.08,-1.58,-9.07,4.62,0.36,0.52,3
324,2.1,-1.43,-9.2,3.28,9.69,4.3,3
349,2.67,-1.46,-9.44,2.91,20.3,7.23,3
373,3.11,-1.65,-9.88,2.12,8.59,6.68,3
398,3.26,-1.73,-10.05,-0.74,-5.07,3.94,3
423,2.95,-1.69,-9.86,-4.34,-7.87,1.07,3
447,2.68,-1.72,-9.59,-8.73,-3.3,-0.27,3
472,2.66,-1.62,-9.31,-11.17,2.86,-0.27,3
496,2.43,-1.38,-9.23,-12.39,-2.99,-0.09,3
521,2.13,-1.18,-9.05,-13.24,0.24,1.62,3
546,2.16,-1.2,-8.93,-13.55,7.5,2.47,3
570,2.36,-1.36,-8.87,-12.88,8.17,2.66,3
595,2.43,-1.28,-8.76,-11.05,1.15,2.96,3
619,2.28,-1.23,-8.66,-8,-1.22,4.55,3
644,2.33,-1.19,-8.76,-5.74,1.64,6.62,3
668,2.56,-1.19,-8.81,-5.87,3.35,7.9,3
693,2.76,-1.38,-8.91,-6.23,3.59,7.66,3
718,3.01,-1.38,-9.16,-6.29,2.56,7.11,3
742,2.98,-1.26,-9.01,-7.88,-2.93,5.83,3
767,2.92,-1.21,-8.55,-8.24,-2.87,3.94,3
791,2.65,-1.12,-8.16,-3.91,2.98,1.68,3
816,2.64,-1.06,-8.51,0.35,7.98,0.89,3
840,2.79,-0.95,-8.93,2.73,4.08,1.25,3
865,2.89,-0.94,-8.86,3.71,-5.68,1.01,3
890,3.07,-1.14,-8.86,5.48,-1.71,-1.43,3
914,3.03,-1.09,-8.93,8.28,4.93,-3.38,3
939,3.08,-1.06,-8.96,10.72,-1.83,-3.2,3
963,3.12,-1.04,-8.86,12.43,-3.18,-2.59,3
988,3.05,-1.07,-8.85,14.01,1.89,-2.59,3
1012,3.11,-1.23,-9.05,14.68,0.42,-4.36,3
1037,2.73,-1.14,-9.22,14.38,4.63,-4.11,3
1063,2.53,-1.31,-9.13,14.38,18.04,-1.43,3
1087,3.02,-1.37,-9.19,15.84,38.9,-0.15,3
1112,3.81,-1.48,-9.74,20.6,37.31,-0.57,3
1136,4.24,-1.63,-10.14,24.38,11.34,-5.15,3
1161,4.17,-1.65,-10.36,25.23,-4.39,-9.78,3
1186,3.94,-1.51,-10.05,21.82,15.18,-12.71,3
1211,4.4,-1.57,-9.76,18.1,31.28,-18.68,3
1236,4.44,-1.79,-9.22,17.73,19.26,-26.37,3
1260,3.8,-1.57,-8.56,20.11,0,-29.17,3
1285,3.78,-1.8,-8.16,23.89,3.72,-30.39,3
1309,3.55,-1.87,-7.97,27,-3.6,-30.82,3
1334,2.95,-2.13,-7.93,28.83,-23.72,-29.42,3
1360,2.15,-2.17,-7.74,26.76,-40.8,-24.66,3
1384,1.36,-2.54,-7.47,23.58,-36.71,-18.26,3
1409,1.31,-2.83,-7.72,19.68,-10,-11,3
1433,2.03,-3.03,-8.68,16.08,5.79,-5.94,3
1458,1.56,-3.12,-9.57,6.69,-24.46,-0.51,3
1482,1.17,-3,-9.41,-4.16,-22.08,7.29,3
1508,1.55,-3.04,-9.1,-10.32,5.85,13.51,3
1533,2.11,-2.61,-8.87,-10.87,13.78,16.62,3
1557,2.87,-2.44,-8.73,-5.62,4.08,17.41,3
1582,3.1,-2.22,-8.64,-0.62,-9.09,16.56,3
1606,3.15,-2.1,-8.87,1.63,-12.57,14.97,3
1631,3.48,-2.02,-8.89,2.24,1.34,12.66,3
1656,3.82,-2.02,-8.91,2.79,-0.68,8.33,3
1680,3.69,-2.09,-9.18,2.67,-5.49,4.3,3
1705,3.47,-2.16,-9.13,0.9,-6.96,1.86,3
1729,3.36,-2.3,-9.01,0.41,-0.49,0.28,3
1755,3.28,-2.44,-9.02,1.02,-0.31,-0.21,3
1779,3.01,-2.42,-9.02,0.9,-4.46,-0.03,3
1804,2.91,-2.45,-9.11,-0.01,-3.66,1.56,3
1829,3,-2.42,-8.91,-2.15,-0.86,1.68,3
1853,3.1,-2.48,-8.75,-2.45,3.11,0.58,3
1878,3.02,-2.42,-8.65,-0.44,4.26,0.22,3
1902,2.98,-2.41,-8.66,2.24,-3.11,-0.7,3
1927,3.05,-2.22,-8.96,2.91,-1.22,-2.28,3
1951,3.2,-2.49,-9.31,1.39,1.64,-4.48,3
1976,3.03,-2.4,-9.32,0.35,2.37,-5.82,3
2001,3.06,-2.29,-9.41,0.11,2.98,-6.98,3
2025,3.28,-2.37,-9.67,-1.48,-0.55,-7.95,3
2050,3.14,-2.44,-9.64,-3.67,-3.05,-8.62,3
2074,3.39,-2.35,-9.69,-4.4,8.96,-9.78,3
2099,4.31,-2.17,-10.39,-6.41,21.21,-13.56,3
2123,5.05,-2.21,-11.27,-10.56,27.01,-21.86,3
