t_ms,ax,ay,az,gx,gy,gz,label
5,-5.35,8.54,0.81,0.29,0.67,-2.1,1
29,-5.52,8.44,0.71,-0.32,0.79,-1.49,1
53,-5.45,8.48,0.69,-1.48,2.98,-0.76,1
78,-5.41,8.47,0.69,-1.78,2.19,-0.33,1
102,-5.41,8.5,0.87,-1.35,0.85,-0.51,1
127,-5.33,8.45,0.89,-1.29,-1.22,-1.18,1
151,-5.29,8.47,0.89,-0.93,-0.61,-1.49,1
176,-5.26,8.49,0.94,-0.62,0.3,-1.25,1
200,-5.42,8.49,0.98,0.17,0.73,-1.49,1
225,-5.34,8.5,0.98,0.78,-0.31,-1.73,1
250,-5.36,8.45,0.82,0.48,0.24,-2.16,1
274,-5.36,8.44,0.86,-0.26,-0.61,-2.95,1
299,-5.44,8.47,1.01,0.66,-1.71,-3.68,1
323,-5.52,8.53,0.88,1.94,0.3,-3.56,1
348,-5.71,8.5,0.69,1.02,-0.07,-2.47,1
372,-5.63,8.47,0.65,-0.01,0.42,-1.79,1
397,-5.62,8.56,0.67,-0.01,0.91,-1,1
422,-5.54,8.42,0.66,-0.2,1.52,0.34,1
446,-5.52,8.4,0.74,-1.41,2.56,0.64,1
471,-5.38,8.48,0.76,-1.35,1.15,-0.15,1
495,-5.39,8.4,0.81,-1.35,0.61,-1.25,1
520,-5.49,8.38,0.76,-2.33,0.79,-1.79,1
544,-5.41,8.43,0.79,-2.82,2.13,-2.28,1
569,-5.3,8.42,0.94,-3,2.43,-2.83,1
594,-5.39,8.34,1.02,-3.06,2.98,-4.66,1
618,-5.4,8.27,0.9,-2.7,1.82,-7.16,1
643,-5.52,8.3,0.92,-2.94,-2.69,-8.01,1
667,-5.59,8.39,0.94,-2.88,-4.94,-6.43,1
692,-5.62,8.36,1.09,-1.72,-1.65,-5.39,1
717,-5.6,8.39,1.03,-0.01,1.4,-5.7,1
741,-5.78,8.2,0.91,0.84,0.67,-5.88,1
766,-5.92,8.32,0.82,1.76,-1.22,-5.39,1
790,-5.85,8.44,0.73,2.37,-1.71,-5.09,1
815,-5.95,8.44,0.62,3.1,0.61,-4.54,1
839,-6.1,8.36,0.58,2.91,-0.13,-3.32,1
864,-6.22,8.46,0.4,2.55,1.95,-0.03,1
889,-6,8.46,0.29,1.27,4.69,3.75,1
913,-5.76,8.41,0.29,-1.48,4.63,5.4,1
938,-5.6,8.43,0.39,-5.62,2.86,4.61,1
962,-5.51,8.37,0.6,-8.18,-2.69,3.08,1
987,-5.54,8.4,1,-9.16,-5.43,1.86,1
1011,-5.55,8.26,1.09,-9.28,-2.81,1.68,1
1036,-5.53,8.09,1.16,-8.73,-1.83,0.89,1
1061,-5.48,8.05,1.31,-8,-2.57,-0.94,1
1085,-5.61,8.16,1.52,-5.56,-4.33,-1.98,1
1111,-5.64,8.3,1.61,-2.21,-0.98,-2.04,1
1135,-5.67,8.26,1.51,0.6,-1.53,-1.31,1
1160,-5.76,8.23,1.45,2.18,2.86,0.16,1
1184,-5.81,8.19,1.14,2.79,2.92,1.07,1
1209,-5.72,8.2,1.17,2,3.35,1.32,1
1234,-5.66,8.27,1.17,1.82,1.82,1.01,1
1258,-5.74,8.38,1.16,2.24,2.56,0.4,1
1283,-5.74,8.27,1.04,2.67,2.98,-0.03,1
1307,-5.8,8.34,0.97,2.85,4.08,-0.33,1
1332,-5.93,8.3,0.84,2.12,-0.25,-0.09,1
1357,-5.91,8.38,0.82,1.33,0.54,1.01,1
1381,-5.83,8.31,0.72,0.84,1.52,1.13,1
1406,-5.82,8.27,0.69,-0.38,1.64,1.44,1
1430,-5.82,8.26,0.81,-2.02,1.7,1.74,1
1455,-5.72,8.34,0.95,-2.15,-0.31,1.8,1
1479,-5.7,8.45,0.86,-0.93,1.03,2.35,1
1504,-5.65,8.32,0.88,-0.81,1.82,2.6,1
1529,-5.65,8.31,0.88,-0.74,2.07,2.47,1
1553,-5.52,8.34,0.85,-0.56,0.97,1.93,1
1578,-5.62,8.36,0.87,-0.56,0.3,1.56,1
1602,-5.67,8.29,0.85,-0.93,1.7,1.74,1
1627,-5.6,8.36,0.78,-1.35,1.34,1.56,1
1651,-5.58,8.4,1.07,-1.72,-1.71,1.56,1
1676,-5.68,8.45,0.9,-1.6,0.61,2.17,1
1701,-5.59,8.36,0.93,-1.96,0.12,2.41,1
1725,-5.47,8.31,1.05,-2.7,-0.13,2.35,1
1750,-5.53,8.44,0.91,-2.39,0.18,2.35,1
1774,-5.55,8.38,0.73,-3.73,-0.19,2.41,1
1800,-5.42,8.16,0.72,-6.78,-1.04,2.9,1
1824,-5.49,8.21,0.63,-11.17,2.43,3.57,1
1849,-5.49,8.32,1.02,-14.1,0.54,3.51,1
1874,-5.57,8.33,1.3,-14.28,6.15,2.9,1
1898,-5.61,8.22,1.38,-13.91,4.81,3.51,1
1923,-5.79,8.12,1.21,-15.38,8.53,5.03,1
1947,-5.94,8.34,1.41,-16.41,13.96,9.12,1
1972,-5.92,8.54,1.64,-14.59,18.84,12.47,1
1997,-5.81,8.56,1.71,-11.05,13.35,13.45,1
2022,-5.69,8.66,1.42,-7.57,6.95,13.51,1
2047,-5.54,8.65,1.17,-6.72,2.25,14,1
2071,-5.4,8.56,1.13,-7.33,6.15,13.94,1
2096,-5.22,8.59,1.22,-8.18,6.28,14.24,1
2120,-5.01,8.65,1.55,-6.96,2.19,14.12,1
2145,-4.75,8.57,1.58,-5.2,2.13,12.11,1
2170,-4.58,8.53,1.68,-3.55,2.62,8.51,1
2194,-4.58,8.43,1.59,-3,-1.89,5.03,1
2219,-4.51,8.43,1.69,-1.96,0.18,1.93,1
2243,-4.55,8.41,1.87,-0.62,-0.19,-0.76,1
2268,-4.64,8.41,1.76,2,0.85,-3.26,1
2292,-4.75,8.41,1.8,3.95,0,-5.76,1
2317,-4.96,8.46,1.82,4.68,-2.38,-6.92,1
2342,-5.13,8.46,1.91,7.06,0.48,-6.79,1
2366,-5.32,8.43,1.95,11.09,0.85,-6,1
2391,-5.79,8.47,1.93,16.02,15.48,-2.95,1
2416,-6.22,8.25,1.89,19.74,22.25,4.12,1
2441,-6.63,8.43,1.81,23.65,30.06,15.64,1
2466,-6.35,8.56,1.84,30.29,37.5,27.35,1
2490,-5.88,8.53,1.93,38.52,46.89,35.4,1
2515,-5.52,8.55,1.61,48.16,57.74,40.52,1
2540,-4.99,8.46,0.86,53.46,56.7,43.21,1
2565,-4.46,8.49,0.16,55.6,53.78,43.75,1
2589,-3.86,8.7,-0.09,56.15,54.93,43.02,1
2614,-3.43,8.79,0,59.38,83.04,43.21,1
2639,-2.73,8.75,-0.12,67,134.26,43.02,1
2663,-1.68,8.4,-0.47,74.8,111.88,38.75,1
2689,-1.08,8.45,-0.88,82.43,73.71,26.38,1
2713,-0.65,8.48,-1.2,94.01,62.74,9.24,1
2738,0.01,8.19,-2.45,102.36,64.57,-10.21,1
2762,0.48,7.83,-4.13,100.84,34.39,-32.95,1
2787,0.73,7.48,-5.16,90.72,-15.61,-58.01,1
2813,0.79,7.76,-6.43,77.06,-52.5,-91,1
2837,0.17,7.33,-8.32,50.54,-70.61,-121.98,1
2862,-1.04,7.28,-9.09,17.73,-76.41,-147.52,1
2886,-2.85,6.33,-9.16,-17.45,-99.15,-166.67,1
2912,-5.73,6.1,-8.22,-50.93,-131.83,-169.78,1
2937,-7.46,5.83,-6.77,-78.79,-119.39,-158.68,1
2961,-8.76,5.59,-6.45,-103.43,-105.55,-141.79,1
2987,-9.31,4.5,-5.49,-130.07,-115.92,-124.78,1
3011,-9.72,3.73,-3.59,-150.56,-117.5,-111,1
3036,-9.7,2.97,-2.21,-167.94,-119.39,-98.07,1
3061,-9.64,2.44,-1.33,-183.73,-130.25,-85.94,1
3086,-10.28,1.21,-0.74,-205.38,-108.11,-71.67,1
3111,-11.4,-0.22,-0.14,-228.67,-57.87,-48.99,1
3136,-11.66,-0.86,1.85,-245.07,-49.64,-19.78,1
3161,-11.77,-0.76,4.86,-246.72,-66.77,9.67,1
3185,-12.4,-0.45,6.63,-231.78,-50.19,38.57,1
3210,-14.84,-0.45,9.24,-208.85,-45.67,68.45,1
3236,-14.28,-1.04,10.54,-179.52,-29.76,100.89,1
3260,-14.16,-0.04,12.38,-132.69,-35.06,140.64,1
3286,-13.15,0.68,13.45,-74.16,-40,179.73,1
3310,-11.82,0.85,12.95,-13.12,-28.48,208.39,1
3335,-9.93,0.74,11.53,36.63,-25.74,228.94,1
3360,-8.07,1.05,9.73,74.38,-25.37,240.64,1
3385,-5.98,1.4,8.43,99.32,-16.89,246.68,1
3410,-4.17,2.29,8.14,119.99,-16.1,243.26,1
3434,-3.16,3.09,7.95,140.17,28.96,236.31,1
3460,-2.08,3.64,7.65,160.84,67.37,230.22,1
3484,-0.61,3.57,7.17,179.56,53.29,221.25,1
3509,0.69,3.73,6.43,196.02,19.45,205.09,1
3534,1.94,3.8,5.69,221.69,12.62,184.36,1
3559,3.44,3.68,4.22,246.69,0.36,158.69,1
3584,4.63,3.52,3.39,268.03,1.89,127.05,1
3608,7.19,3.04,0.75,284.31,-33.85,82.35,1
3633,8.42,3.21,-2.62,283.95,-104.03,21.01,1
3658,7.99,3.29,-5.43,259.25,-163.6,-44.9,1
3683,6.35,4.31,-8.06,220.66,-227.26,-106.24,1
3708,3.49,5.23,-10.66,171.27,-261.53,-157.95,1
3733,0.41,6.16,-11.83,117.43,-247.93,-191.79,1
3758,-2.23,5.94,-13.04,54.62,-247.75,-206.43,1
3783,-4.06,4.69,-12.76,-14.1,-278.29,-207.65,1
3808,-6.76,4.15,-10.4,-70.99,-293.9,-204.23,1
3833,-9.22,3.88,-8.69,-114.71,-207.44,-190.63,1
3858,-10.01,2.88,-7.72,-151.84,-131.95,-176.18,1
3883,-9.98,0.7,-6.37,-186.6,-165.73,-161.3,1
3907,-11.23,0.56,-3.82,-216.78,-214.15,-138.32,1
3933,-11.71,0.55,-1.38,-234.1,-171.34,-110.45,1
3957,-12.21,-0.09,-0.21,-242.75,-89.45,-83.87,1
3983,-12.44,-1.77,0.08,-251.53,-64.76,-56,1
4008,-13.19,-2.1,1.65,-263.97,-81.34,-18.56,1
4032,-13.23,-2.35,3.29,-266.6,-67.44,20.28,1
4057,-13.49,-2.77,5.26,-263.55,-58.66,53.57,1
4082,-13.22,-3.45,6.3,-252.51,-67.32,79,1
4107,-13.59,-3.12,9,-226.96,-72.69,109.79,1
4132,-13.33,-2.41,11.34,-192.82,-64.58,143.27,1
