t_ms,ax,ay,az,gx,gy,gz,label
5,-0.82,-0.21,10.59,-18.98,14.51,26.13,2
29,-0.76,-0.23,10.71,-18.06,3.9,22.9,2
54,-1.15,-0.33,10.92,-14.46,0.97,21.25,2
79,-1.15,-0.5,10.96,-9.59,3.59,20.95,2
103,-1.12,-0.28,10.84,-5.01,14.75,15.46,2
128,-1.16,-0.21,10.86,-1.72,17.8,11.32,2
152,-1.48,-0.33,10.65,-0.99,3.59,10.89,2
177,-1.64,-0.32,10.43,-0.07,3.72,10.03,2
201,-1.6,-0.09,10.52,2.18,8.65,6.86,2
227,-1.51,-0.01,10.3,4.44,4.69,5.46,2
252,-1.73,-0.09,9.96,4.99,0.36,5.03,2
276,-1.85,-0.21,9.44,3.22,6.15,3.51,2
301,-1.84,-0.17,9.31,0.48,11.09,2.78,2
325,-1.79,-0.06,9.52,-2.82,7.25,3.82,2
350,-1.79,-0.12,9.62,-5.62,0.97,2.84,2
375,-1.79,-0.13,9.6,-5.56,1.22,1.38,2
399,-1.71,-0.01,9.53,-6.48,6.22,-0.94,2
424,-2.01,-0.27,9.8,-9.46,7.07,-1.79,2
448,-2.06,-0.34,10.17,-11.9,1.22,-0.51,2
473,-2.11,-0.08,10.55,-10.13,1.03,-0.57,2
497,-1.94,-0.05,10.67,-6.29,1.22,-1.92,2
522,-2.25,-0.26,10.82,-3.12,-1.96,-1.67,2
547,-2.35,-0.28,10.86,1.39,-2.81,0.16,2
571,-2.05,-0.15,10.49,4.07,-2.32,-0.03,2
596,-2.07,-0.16,10.28,4.38,2.01,-3.38,2
620,-2.33,-0.21,10.48,3.95,-2.38,-4.42,2
645,-2.66,-0.09,10.28,4.93,-1.53,-3.26,2
669,-2.56,0.02,10.38,6.27,0.79,-0.94,2
694,-2.56,0.04,10.35,7.73,-3.05,0.64,2
719,-2.53,0.02,10.18,8.95,-7.32,2.29,2
743,-2.47,-0.05,9.89,9.56,-2.5,5.34,2
768,-2.07,-0.21,9.49,8.83,-10.43,7.66,2
792,-2.1,-0.26,8.97,3.52,-20.25,8.08,2
817,-1.92,-0.17,8.79,-0.56,-14.52,8.08,2
841,-2.23,-0.21,8.34,-5.74,-7.08,6.93,2
866,-1.79,-0.19,8.2,-9.95,1.7,6.86,2
891,-1.64,-0.28,8.22,-15.01,-1.16,4.36,2
915,-1.59,-0.19,8.05,-19.77,8.65,-0.94,2
940,-2.08,-0.23,7.78,-24.59,11.09,-4.9,2
965,-2.56,-0.44,7.99,-32.33,13.17,-3.68,2
990,-2.7,-0.62,8.57,-39.04,12.07,-1.49,2
1015,-2.89,-1.25,9.45,-42.15,17.01,1.25,2
1039,-2.25,-1.56,10.62,-44.16,19.87,1.8,2
1064,-1.98,-1.66,12,-39.34,6.52,-0.45,2
1088,-2.34,-1.99,12.69,-29.28,-2.75,-1.61,2
1113,-2.45,-1.89,12.91,-18.91,-7.2,-0.27,2
1138,-2.19,-1.62,12.84,-6.35,3.78,-2.47,2
1163,-2.4,-1.34,12.12,3.34,3.84,-6.18,2
1188,-2.73,-1.23,11.5,8.04,4.26,-7.1,2
1212,-3.09,-1,11.07,10.11,6.4,-6.86,2
1237,-3.08,-0.82,10.82,11.88,5.06,-4.72,2
1261,-3.01,-0.88,10.41,13.22,2.74,-2.34,2
1286,-2.81,-0.9,10.22,14.93,2.98,-1.06,2
1310,-2.57,-0.98,10.09,17.73,6.95,-1.18,2
1336,-2.49,-1.04,9.76,19.8,11.09,-1.55,2
1361,-2.4,-1.12,9.24,19.32,11.52,-0.51,2
1385,-2.38,-0.97,8.86,17.55,13.17,0.03,2
1410,-2.43,-0.86,8.35,14.07,12.37,0.28,2
1434,-2.38,-0.76,7.96,7.55,10.79,-0.21,2
1459,-2.66,-0.9,7.84,-0.87,9.2,0.4,2
1483,-2.5,-1.02,8.2,-10.68,3.84,0.71,2
1508,-2.57,-1.04,9.26,-17.82,-3.66,0.52,2
1533,-2.84,-1.2,10.32,-19.22,-1.35,0.28,2
1558,-2.67,-0.91,11.4,-14.83,-1.04,-0.21,2
1583,-2.73,-0.94,12.07,-6.41,-1.04,-2.28,2
1607,-2.94,-1.17,12.46,3.1,-3.66,-2.04,2
1632,-3.06,-1.15,12.21,12.49,-0.31,0.1,2
1657,-2.83,-0.85,11.68,20.35,4.81,-0.09,2
1681,-2.77,-0.73,10.75,25.96,8.96,-2.22,2
1706,-2.89,-0.69,9.55,27.18,11.09,-3.62,2
1731,-2.92,-0.71,8.31,23.22,4.57,-3.75,2
1756,-2.99,-0.64,7.4,15.11,6.58,-3.2,2
1780,-2.8,-0.66,6.67,5.29,5.54,-0.76,2
1805,-2.47,-0.51,6.36,-4.4,5,1.62,2
1830,-2.26,-0.54,6.14,-13.55,8.04,0.52,2
1854,-2.28,-0.69,6.2,-24.77,11.28,-3.32,2
1879,-2.4,-1.36,6.68,-38.91,11.64,-4.97,2
1903,-2.6,-1.85,8.19,-51.17,-2.26,-3.44,2
1928,-2.7,-1.94,9.91,-57.21,-14.64,-2.77,2
1952,-2.98,-1.91,12.06,-57.82,-14.27,-4.36,2
1978,-2.85,-1.45,14.47,-47.63,-16.41,-6.31,2
2003,-2.96,-0.84,16.16,-28.91,-23.42,-8.99,2
2027,-4.08,-0.49,17.57,-8.49,-6.04,-9.36,2
2052,-4.54,-0.74,19.98,16.02,2.13,-1.12,2
2076,-4.63,-0.89,19.98,48.77,-6.65,9.3,2
2102,-4.25,-0.66,19.98,87.49,-12.87,15.1,2
2127,-3.85,-0.68,19.98,126.51,-4.39,13.45,2
2151,-3.88,-1.34,19.98,162.49,-6.89,11.44,2
2176,-4.24,-2.39,19.98,190.11,-17.14,16.32,2
2201,-3.89,-3.32,17.91,209.62,-17.02,24,2
2226,-2.64,-4.35,15.2,223.34,-32.63,31.13,2
2250,-1.24,-4.7,11.09,227.36,-46.22,32.6,2
2275,0.7,-4.21,6.8,221.81,-60.49,25.28,2
2301,2.17,-3.79,2.45,204.86,-68.6,9.85,2
2325,3.32,-3.1,-1.39,173.95,-65.06,-11.73,2
2350,4.17,-2.28,-4.05,133.1,-82.02,-35.88,2
2374,3.64,-1.63,-6.28,87.85,-86.28,-57.16,2
2400,3.35,-1.12,-7.47,43.22,-86.16,-72.4,2
2425,2.69,-0.81,-8.42,-2.09,-80.8,-87.83,2
2449,1.79,-0.9,-8.91,-49.65,-71.77,-101.92,2
2474,0.77,-1.18,-8.77,-99.4,-75.49,-108.38,2
2498,-0.7,-1.95,-7.92,-150.13,-69.64,-109.35,2
2524,-1.52,-2.67,-6.07,-195.68,-51.1,-110.7,2
2548,-2.52,-4.38,-4.53,-240.56,-60.61,-104.78,2
2573,-4.41,-6.64,-1.41,-290.13,-44.82,-88.87,2
2599,-4.17,-7.84,4.43,-325.44,-44.46,-72.46,2
2623,-6.07,-9.11,10.37,-341.17,-55.19,-51.73,2
2648,-6.24,-11.42,19.38,-336.53,-49.7,-18.68,2
2673,-5.07,-10.94,19.98,-299.52,-61.65,13.39,2
2698,-3.08,-9.64,19.98,-225.25,-30.31,34.97,2
2723,0.62,-7.79,19.98,-132.94,-34.15,32.9,2
2748,1.77,-7.23,19.98,-44.22,-26.47,14,2
2773,1.38,-6.91,19.98,32.85,7.43,3.14,2
2797,1.83,-6.97,19.98,101.94,32.25,-0.27,2
2822,2.6,-7.4,19.98,167.67,34.87,-6.73,2
2846,2.28,-8.2,19.98,229.99,44.26,-15.64,2
2872,1.57,-9.26,19.98,273.28,45.18,-16.37,2
2897,0.26,-9.98,17.25,291.2,32.31,-6.67,2
2921,0.78,-10.16,12.81,292.73,6.7,1.56,2
2946,1.63,-9.59,8.32,287.18,-18.42,-1.49,2
